,HateSpeech,BestCS,BestIntent,E,R,A,C,L,CSCount,Target
1340,Feminists are a bunch of cry babies.,Feminism is not about whining and crying. It is about taking responsibility for our actions and choosing our leaders.,Informative,3.0,5.0,1.0,2.0,2.0,2,WOMEN
1341,I don't like gays and I think they are subhumans.,"They are not subhuman, they are just people with different sexual orientations.",Informative,3.0,3.0,3.0,1.0,1.0,1,LGBT+
1342,"Trying to understand peoples 'cultures'? No, it's not normal. I've never heard of anyone being raped by a non-Muslim. We cannot accept the religion of violence.","The problem is neither about Islam nor about cultural relativism. Instead of inflating Islam as a problem and subjecting it to a ""politically correct"" spin, we should be focusing on becoming more inclusive.",Informative,2.0,3.0,3.0,3.0,3.0,1,MUSLIMS
1343,If homosexuals want to change they should go to a conversion therapy where they are constantly taught to love themselves and other people.,"Therapy cannot change sexual orientation, and “reparative” therapy can be harmful. These ""treatments"" may help change sexual behavior temporarily but also can create emotional trauma.",Informative,3.0,5.0,1.0,3.0,2.0,4,LGBT+
1344,Immigration is a drain for the economy.,Immigration is far away from being a net negative for our economy.,Informative,2.0,3.0,1.0,2.0,2.0,1,MIGRANTS
1345,Feminism is just a tool for oppressing men.,"Feminism is a social movement that claims equality, it's so far from oppressing men.",Informative,3.0,4.0,3.0,2.0,1.0,1,WOMEN
1346,Muslims have a bad reputation and there will be a reason. I even saw a video where they kill dogs with acid!,Any religion is bigger than the notion a few extremists hold. We should be able to separate them both and concentrate the blame on the ones guilty and not innocent people.,Positive,3.0,4.0,2.0,2.0,2.0,4,MUSLIMS
1347,"Arabs cannot vote for Brexit, we have different religions and cultures.",I don't understand why you think Muslims would be any different on this issue.,Informative,2.0,2.0,2.0,1.0,1.0,1,MUSLIMS
1348,"Islam is not about love, equality and integration, how can you be in favour of such extremist intolerance?","I would like to ask you, what exactly do you mean by 'extremist'?",Questioning,3.0,2.0,2.0,1.0,2.0,1,MUSLIMS
1349,Jewish landlords are greedy and exploit their tenants.,"This could be the case for every landlord, no matter what faith they come from. You should be more considerate and you should stop making generalizations.",Positive,3.0,4.0,3.0,2.0,2.0,4,JEWS
1350,Most of Europe hates muslims.,"In many countries, including for instance France, Italy, Spain, Germany, Islam is not considered a threat by majority of the population.",Informative,3.0,5.0,1.0,1.0,2.0,3,MUSLIMS
1351,Migrants... We are still giving these criminals a free pass!,The presumption of innocence is one of the main principles of our justice system. This means that your opinion is not enough to make someone guilty.,Informative,3.0,5.0,1.0,2.0,2.0,1,MIGRANTS
1352,Above all Islam is a religion of conquest.,"No, Islam is a religion of 1.6 billion people from all walks of life.  ",Denouncing,2.0,2.0,2.0,2.0,1.0,4,MUSLIMS
1353,Holocaust is a myth. Jews are just like every other foreigner and should be despised. There is no difference.,Historians instead agree that there were in fact persecution camps.,Informative,3.0,3.0,2.0,1.0,1.0,2,JEWS
1354,Young Muslim migrant girls are being groomed for terrorist activities.,Where is the evidence? Aren't you sick of this kind of propaganda?,Questioning,1.0,1.0,2.0,2.0,1.0,1,MUSLIMS
1355,LGBT+ people are a drain on society.,We should not be so judgmental. Just because someone is LGBT doesn't mean that they are a drain on society. They are like any other member of our community.,Denouncing,3.0,4.0,2.0,2.0,2.0,3,LGBT+
1356,Migrants are violent people.,"They are not ""violent"" people, they are people trying to find a better life for their families in a different country.",Informative,3.0,3.0,3.0,2.0,2.0,1,MIGRANTS
1357,These children should not be exposed to messages and experiences that reinforce equality amongst different racial identities: they are harmful to them. We must teach them that blacks are inferior.,"We should be concerned with the children, we should try to create a more integrated society. Being sensitive to people is the way to create it.",Positive,3.0,4.0,1.0,2.0,2.0,1,POC
1358,Islam is incompatible with Western civilization.,The overwhelming majority of Muslims in the West are in favor of an open and multicultural society.,Informative,3.0,4.0,1.0,2.0,2.0,2,MUSLIMS
1359,"Gays are sick, they are an abomination.","Let us be honest, are you aware of all the risks that can come from disparaging a sexual preference that you do not like?",Questioning,3.0,3.0,3.0,3.0,2.0,2,LGBT+
1360,I think that Muslims are terrorist and that we need to ban Islam in order to live in a safe country.,"The above statement is false, if you really cared you would know that there is a substantial difference between Muslims and terrorists, that is the very reason the anti-terrorism laws are enforced.",Denouncing,3.0,4.0,4.0,2.0,2.0,1,MUSLIMS
1361,"The Quran is an anti-women's book, it encourages rape and violence against women.","The Quran does not encourage violence against women, rather it provides guidance on how to live as Muslim women. It also does not encourage or condone the violent act of male aggression, so yours is a sad case of misinterpreting the teachings of a holy book.",Positive,3.0,5.0,4.0,2.0,3.0,3,MUSLIMS
1362,Islam is a death cult: it is a virus of violence spreading like a cancer through our society.,"Violence has no place in a religion, and in no way should be justified. Islam is a religion of peace.",Informative,3.0,3.0,3.0,2.0,2.0,2,MUSLIMS
1363,Feminism is an evil ideology that has nothing to do with men.,I think it is useful to understand that there are several strands of feminism. For example there is the movement for equality for all genders.,Informative,3.0,5.0,1.0,2.0,2.0,1,WOMEN
1364,Refugees are a burden on our society.,Refugees are welcome. We should welcome them with open arms. They are people fleeing wars with hopes for a better tomorrow.,Positive,3.0,5.0,1.0,2.0,2.0,1,MIGRANTS
1365,The Jews are a virus spreading through our culture.,How would you feel if someone said that about your own religion?,Questioning,2.0,3.0,5.0,1.0,1.0,1,JEWS
1366,I believe that same sex attraction is a mental disorder that can be cured.,"There are different sexual orientations. Being gay does not automatically make you mentally ill, and being straight does not automatically make you sane.",Informative,3.0,4.0,4.0,2.0,2.0,1,LGBT+
1367,Jewish folks control the media,The fact that in the media there are some people from certain religions does not in any way suggest that they control the media.,Informative,3.0,4.0,1.0,2.0,2.0,4,JEWS
1368,We need to burn the Koran and demolish all Mosques - this will solve all problems in this country.,"Would it though?  Food Scarcity, Pollution, Inflation, Wars and more, all can be solved by being violent with one religion? This doesn't make sense for me. ",Questioning,3.0,3.0,3.0,2.0,2.0,2,MUSLIMS
1369,"Immigration would be good, if it made us richer.","Migration can be a positive force for social progress and improve our country, so let's do our bit to improve the life of migrants.",Informative,2.0,3.0,1.0,2.0,2.0,1,MIGRANTS
1370,Gays are bad because they like to impose same-sex marriage to society so to please their own femininity desires.,"The real problem is not same-sex marriage, it is people being homophobic.",Denouncing,3.0,5.0,1.0,2.0,2.0,1,LGBT+
1371,Jews have a monopoly on evil.,That's not true. And why would it be true? Why are they usually associated with evil?,Questioning,2.0,3.0,2.0,1.0,1.0,1,JEWS
1372,Jews are intolerant.,,,,,,,,0,
1373,"Jews are an inferior race, they are genetically incapable of living with other people.",The idea that Jews can be discriminated against because of some different genetics is completely without foundation. Maybe it is better to stop calling them 'inferiors'.,Denouncing,3.0,4.0,3.0,3.0,3.0,1,JEWS
1374,"We have to stop Muslims coming here, they are not like us and we do not want them.","You cannot stop Muslims. It would have to be a state policy, but thank goodness it is very unlikely to have a ban based on religion in a democratic country.",Informative,3.0,4.0,3.0,2.0,2.0,1,MUSLIMS
1375,"We cannot accept Muslims in our country. It is a good strategy to make them publicily uncomfortable by making fun of them out loud. Mock them, when you spot them.",Harassment is never a good idea. Acceptance is.,Positive,2.0,3.0,2.0,2.0,2.0,2,MUSLIMS
1376,Jews control Hollywood and the media.,If that were the case I am sure there would be more positive media portrayals of Judaism?,Questioning,3.0,4.0,2.0,2.0,2.0,2,JEWS
1377,The Jews are our enemies. The world would be a better place without them.,"We are not anti-Semitic, anti-European, anti-Islamic, anti-black, or anything else like that. If you have the feeling that we are, then maybe you should stop thinking like this.",Denouncing,3.0,4.0,4.0,2.0,2.0,1,JEWS
1378,I've met a few Muslims that are really nice and helpful. But most of them aren't respectful.,"If you want to be 'respected', don't be like them. Treat others as you would want to be treated yourself. That's how you will get respect.",Informative,3.0,4.0,2.0,2.0,2.0,1,MUSLIMS
1379,"This guy doesn't deserve to be British. He is just a pot smoking faggot with a brain tumour. He is not even from this country. He is probably from Pakistan, or Bangladesh.","Citizenship in Britain is also guaranteed by 'naturalisation', so it is provided by law. It is ok not to be born in Britain and to be a British citizen just as anyone else is.",Informative,2.0,2.0,2.0,2.0,2.0,1,MIGRANTS
1380,"I want a German Shepherd, not a Muslim one!",Maybe we should have a discussion about comparing dogs to people to humiliate a religion.,Informative,2.0,3.0,3.0,2.0,2.0,1,MUSLIMS
1381,"Feminism is all about equality. But this does not mean that they are equal to men. Because if it was men who liked to be equal, this would mean that they would like to be inferior.","Women don't like to be ""equal"" for the sake of superiority. Women like to be women, and to be treaten as humans. All humans are equal. Equality is not identity.",Informative,3.0,4.0,2.0,2.0,2.0,2,WOMEN
1382,99% of Muslims in the UK are unemployable and refuse to work.,"That is a blatant lie. (attach unemployment statistics) The vast majority of them bring necessary skills into our economy/society. Plus, they are eager to work. I would suggest to check your sources?",Informative,2.0,3.0,2.0,2.0,2.0,2,MUSLIMS
1383,If I were a Muslim I'd be ashamed of the backwardness of my culture. They should understand they don't deserve our rights.,"I would be very interested in talking to you about ways to promote your ""forward-thinking culture"" within our country, but I think it would clash with the basic rights of European citizens.",Informative,3.0,3.0,4.0,2.0,3.0,1,MUSLIMS
1384,"Jewish power structures dominate world government, they control Congress, they control the media, and they control academia. Jews are the only people who can get anything done.","Just like everyone else, I am sure Jews are trying to influence the world in a positive way but there is no proof they are the only ones with power in this world.",Informative,3.0,4.0,1.0,2.0,2.0,1,JEWS
1385,Black people are an abomination. They don't belong here.,The fact that people of color are different from you in some way does not make them not worth living with. Maybe if you had known someone of a different skin color you wouldn't have a racist attitude towards others.,Informative,3.0,5.0,3.0,2.0,2.0,2,POC
1386,We can't have mestizos here because they're not part of our culture.,We should not be choosing immigrants based on their cultures. We should just accept all.,Positive,3.0,4.0,1.0,2.0,2.0,1,MIGRANTS
1387,"Muslim violent invaders have infiltrated our cities, towns and villages. We must stamp them out.",What you say is just wishful thinking. Islam is not a violent religion. How can you say that about a religion?,Questioning,2.0,3.0,2.0,1.0,2.0,1,MUSLIMS
1388,White people are victims of black violence.,"Blacks make up only 14% of the population, but they make up nearly 60% of the victims of violent crimes. So your statement seems ungrounded.",Informative,3.0,4.0,2.0,1.0,2.0,1,POC
1389,We should not be surprised that a whole people have chosen violence and terror as their political ideology.,"Terror is a tactic used to achieve social and political ends, pursued by some extremist groups only.",Informative,3.0,4.0,1.0,3.0,2.0,1,MUSLIMS
1390,The only ones in favour of Islam and Muslims are those ignorant about what it truly is.,Maybe the ones intolerant of Islam and Muslims are the ones that are ignorant about what it truly is?,Questioning,2.0,2.0,3.0,2.0,1.0,2,MUSLIMS
1391,"women are basically childlike, incapable of serious thought and emotion. They should have no equal rights.","Sure, there are undeniable physiological differences between the two, but men and women don’t have different brains with different proclivities to certain vocations. So stop spreading misinformation.",Denouncing,3.0,5.0,3.0,4.0,3.0,4,WOMEN
1392,"Fat people are disgusting, they should just lose some lard to be accepted in our society.",People are free to make decisions about their own health and body.,Positive,2.0,2.0,2.0,2.0,2.0,1,OTHER
1393,I think that all Muslims are just sick. They are not interested in Western society.,There is no evidence that Muslim people have a negative impact on our society.,Informative,1.0,2.0,1.0,1.0,1.0,2,MUSLIMS
1394,Shocking how many British Muslims have conquered the country in the last 15 years. How come there is no anti-Muslim campaign yet?,"Since you seem to have a problem with Islam, I wonder what you think of the banning of the Quran in UK. It would be a law that prevents Muslims from openly discussing Islam in public places. We can do the same with the Bible and ban any trace of religions and cultures. Will we be left with some freedom then?",Informative,1.0,2.0,3.0,3.0,3.0,2,MUSLIMS
1395,Blacks have zero sense of morality and are incapable of love.,Can a person's morality not be influenced by their own actions? What does it have to do with one's skin color?,Questioning,3.0,5.0,1.0,1.0,2.0,3,POC
1396,"Muslim rape our women, we have to stop them now!",Maybe you should check if there is any evidence of rape based on religious background before you make any accusations.,Denouncing,3.0,4.0,4.0,2.0,2.0,2,MUSLIMS
1397,"If only society accepted that women aren't human, like we are, they would understand.","In order to accept that women are human people, society has to acknowledge that they are born that way, just as men are born like that. It makes no sense to blame someone for their gender.",Informative,3.0,4.0,1.0,2.0,3.0,1,WOMEN
1398,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",We do have to choose. It's ok to accept them both.,Informative,2.0,3.0,2.0,2.0,1.0,4,OTHER
1399,The ideology of National Socialism is nothing to be ashamed of.,"National Socialism is a parasitic, criminal and murderous ideology that killed millions of people.",Informative,3.0,5.0,2.0,2.0,2.0,1,JEWS
1400,"Feminism is just a bunch of mean, bitchy cuntwits that only exist to divide society.","I think you are confusing cause and effect. Women are people, with rights, and they have every right to fight against misogynist, who ""only exist to divide society"".",Informative,3.0,5.0,2.0,2.0,2.0,2,WOMEN
1401,"I do not like migrants, they are just a bunch of criminals and sex offenders.","This is not supported by any evidence. Whether or not you feel that way about migrants, they should be treated just like you would treat any other person.",Informative,3.0,5.0,2.0,2.0,2.0,1,MIGRANTS
1402,We must put a stop to migrants and ban them from EU.,"Migrants are fleeing from war and poverty. They are entitled to seek refuge in the EU. They should be protected, not banned.",Informative,3.0,5.0,1.0,2.0,2.0,1,MIGRANTS
1403,"Islam is a terrible and dangerous ideology that promotes murder, rape and violence towards women and gays.",All religions have their bad parts if look with a modern eye. But no religion promotes acts of terror and violence like the ones you said.,Denouncing,3.0,4.0,2.0,2.0,2.0,4,MUSLIMS
1404,Gays are perverts and must be cured because they are practicing anal sex all the time.,"Shouldn't questionnaires and history of sexual contact identify a donor as safe or unsafe, and not their sexual preferences?",Questioning,3.0,4.0,2.0,2.0,2.0,3,LGBT+
1405,"Woman should not be allowed to vote, this is Lord's will.","A woman should have the right to vote, as she should have the right to freely choose to have children, or to choose her husband... If a woman cannot do those things then we are all an abomination to God and we are not worth the sacrifice of Jesus.",Informative,3.0,4.0,3.0,3.0,2.0,1,WOMEN
1406,"Let's face it fairly. Muslims are a problem in my opinion, they should go back where they came from.","If we exclude them from a country, we are not in a position to treat them fairly.",Informative,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
1407,Jews just don't want equality. They want to control everything in life.,What exactly do you mean by 'control everything in life'?,Questioning,1.0,1.0,2.0,1.0,1.0,1,JEWS
1408,The goverment is making law exclusively for black people. Affirmative action is just a tool for oppressing white people.,"Laws and policies are usually necessary for the progress of society. Governments often create laws and policies to stop crime, protect against poverty, protect the environment, etc. Protecting minorities is no exception.",Informative,3.0,3.0,2.0,2.0,2.0,1,POC
1409,All black people are criminals.,"It is a myth that all black people are criminals. They are just as capable as anyone else of learning and growing as individuals, i.e. either as law abiding citizens or criminals.",Informative,3.0,5.0,1.0,2.0,2.0,1,POC
1410,"I don't want a Muslim in my city hall, I'll do anything to prevent it.",Islam is a peaceful religion. It is not about oppressing anyone.,Positive,2.0,3.0,1.0,2.0,2.0,3,MUSLIMS
1411,"We live in a dangerous society, with Muslim gangs and criminals all over the country.","Despite the local press blaming all Muslims, of course, there is no evidence that Muslims are more prone to crime than the general population. The main problem is poverty, and often mental illness and addiction, rather than a single faith.",Informative,3.0,4.0,2.0,3.0,2.0,1,MUSLIMS
1412,Immigration is just a way to create more poverty and unemployment in our country.,Poverty and unemployment are real issues in the UK and throughout the world. I doubt this has something to do with migrants at all.,Informative,2.0,3.0,3.0,2.0,2.0,1,MIGRANTS
1413,We do not need immigrants. The UK is full.,"Not all immigrants are welcomed in the UK, unfortunately. But those that are welcome contribute to our country and improve it.",Informative,3.0,3.0,3.0,2.0,2.0,1,MIGRANTS
1414,Migrants are a burden to us.,What do you mean by a 'burden'? Does it include respecting our country's laws of not insulting the culture and traditions of other people's? Because this is what you are doing: insulting and discriminating.,Questioning,3.0,4.0,3.0,3.0,3.0,2,MIGRANTS
1415,"Women are subhuman, they are weak and childlike, they cannot be trusted with important decisions.","Women are people with dignity, and they deserve respect and protection, just like anybody else.",Positive,3.0,3.0,3.0,2.0,2.0,1,WOMEN
1416,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","The difference between these two individuals has nothing to do with race or gender, it is individual lifestyle and cultural difference.",Informative,3.0,4.0,2.0,2.0,2.0,4,POC
1417,"I ask for nothing in return but the removal of immigrants from my country. They are our enemies, They are not welcome here.","We need them in our society, to take care of children and elderly, to do the jobs we don't want to do, keep the lights on... Don't we? Your life must be one, continual dissappointment?",Informative,3.0,4.0,3.0,2.0,2.0,1,MIGRANTS
1418,Immigrants in the US are not 'legitimate' citizens because they cannot have 'legal' status with their laziness and illiterateness. Nobody needs them.,"Migrants are highly regarded in US society, and are treated like sons and daughters: they contribute to our country.",Positive,3.0,3.0,1.0,1.0,2.0,3,MIGRANTS
1419,Jewish folks should be burned alive.,"Jews were killed in the gas chambers, we have to remember it in order not to repeat it.",Informative,3.0,4.0,2.0,1.0,1.0,1,JEWS
1420,There should be a restriction on asian actors in action movies. This must stop.,"All movies have their required audience. Maybe if you don't like something, you can just watch something else. We have a lot of movies these days. ",Positive,3.0,4.0,2.0,2.0,2.0,4,OTHER
1421,Islam is a religion of war and intolerance.,It seems that some people have made hatred for Muslims their default response to all types of social injustice.,Informative,1.0,2.0,3.0,4.0,1.0,1,MUSLIMS
1422,Autistic people are a problem in our society.,"Why do you think it is a problem? I doubt that any autistic person is a problem per se, but, for the disabled people, the non-inclusive everyday life is.",Questioning,3.0,5.0,1.0,2.0,2.0,1,DISABLED
1423,"I don't want homosexuals in my family, what is wrong with you?","Unfortunately, you are not the only one that hates homosexuals. But I would hate to think that we live in a country where it is acceptable to practice such hate.",Positive,2.0,3.0,2.0,2.0,2.0,1,LGBT+
1424,Niggas are the cause of economic crisis.,"Many people are victims of economic crisis and unfortunately, a large portion of them are black so they are actually the victims in this case.",Informative,3.0,5.0,1.0,2.0,2.0,2,POC
1425,Islam is a toxic influence in our country and we do not want it here.,I think it is good to speak out when we disagree. What is the toxic influence? I can't see any.,Denouncing,2.0,2.0,3.0,2.0,2.0,2,MUSLIMS
1426,"Black people are not human, they are nothing but trouble to this country.","This is an accusation that is often levelled at people of any race or religion, regardless of their alleged inferiority.",Informative,3.0,4.0,3.0,2.0,2.0,2,POC
1427,We have the best and the worst of humanity all trying to enter our country. We must filter them according to provenance.,You cannot discriminate like that: all immigrants are eligible for processing regardless of their countries of origin.,Positive,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
1428,It has been proven time and time again that the Jews control the world's governments.,Do you have any evidence that can prove this to us?,Questioning,1.0,2.0,3.0,1.0,1.0,2,JEWS
1429,Immigrants steal more money than they pay in taxes.,"Most of them are not exploiting our country, most of them are just trying to have a better life.",Informative,2.0,3.0,1.0,1.0,1.0,1,MIGRANTS
1430,"Muslims have no place in civilised society, and are poisonous to it.","Muslims are not outsiders in our country, they are a very important part of society. I don't see how they can be 'poisonous' to it.",Informative,2.0,3.0,3.0,2.0,2.0,1,MUSLIMS
1431,LGBTI people are less healthy than other people.,"Just because people are homosexuals, it doesn't mean they are less healthy. I think there are many heterosexual people in the world who equally unhealthy.",Denouncing,3.0,5.0,3.0,2.0,2.0,2,LGBT+
1432,These faggots are trying to delegitimize women.,"So you think all gays are opposed to women? Then try asking them, or a lesbian, or a transgender person, or an intersex person, or an asexual person.",Questioning,3.0,5.0,2.0,2.0,2.0,1,LGBT+
1433,We should refrain from imposing gender ideology on children.,An objective way of teaching gender to children is very important for the society and it is not imposing. We can present scientific and peer-reviewed sources and discuss stories of how people experience gender in terms of their personal identity.,Informative,3.0,4.0,2.0,3.0,2.0,4,LGBT+
1434,We are being invaded. They will replace us and Afro-European will be the majority.,"Europeans who trace their ancestry to Africa are actually a very small part of the European population, only accounting for around 2%, since the mid 20th century. Not such a big invasion.",Informative,3.0,5.0,2.0,2.0,2.0,1,POC
1435,Muslim people do not have a place in the EU.,"It is wrong to associate a specific group of people to ""civilisation"". The real problem for Europe is this culture of division, not the inclusion of people with different religious beliefs.",Denouncing,3.0,4.0,2.0,2.0,2.0,8,MUSLIMS
1436,The Uk is full of Muslim terrorists,"There are many Muslims in the UK and the vast majority are not extremist, let alone terrorists.",Informative,3.0,4.0,2.0,1.0,2.0,1,MUSLIMS
1437,Fucking Muslims are not fit to rule.,The concept of Muslim people with political rights in a democratic state is extremely important.,Informative,2.0,2.0,3.0,2.0,2.0,1,MUSLIMS
1438,Affirmative action is just a tool for oppressing white people. It is the real cause of white riots.,"I'm not aware of any evidence of affirmative action causing an uptick in violence. Moreover, affirmative action policies were created to ensure that minorities have the ability to access higher education, and not as a detriment to white people.",Informative,2.0,2.0,2.0,2.0,3.0,1,POC
1439,"Islam is not a religion, it is just a system of governance, incompatible with Western culture.","Countries, not religions, have laws. And the followers of a religion, Muslims in our case, have obligations under those laws as citizens. That's all.",Informative,3.0,4.0,3.0,2.0,2.0,1,MUSLIMS
1440,Muslims are a bunch of child predators.,"Islam is about love, not hate, and Islam is not about molesting innocent people.",Positive,3.0,3.0,2.0,2.0,2.0,4,MUSLIMS
1441,"The Nazi regime killed six million Jews. The Nazi regime also persecuted political opponents, gays, women, and bisexuals. And they were right, the Nazi race is superior.","What exactly are you talking about? What's the ""Nazi"" race? What is in your heart?",Questioning,2.0,3.0,2.0,1.0,2.0,1,JEWS
1442,Women must be submissive and serve to men.,Women should be treated as equal in life.,Positive,2.0,2.0,1.0,1.0,1.0,2,WOMEN
1443,Social problems are due to refugees.,"Let's face it: problems are caused by the economic crisis, unemployment, and lack of education. We can only help ourselves by helping others.",Informative,2.0,3.0,1.0,2.0,2.0,1,MIGRANTS
1444,The Quran teaches murder and rape.,Islam does not teach this. The Quran accounts for the teachings of Prophet Muhammad such as tolerance and other virtues.,Informative,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
1445,Gays are nazis.,I don't see any connection between being a homosexual and a nazi.,Informative,2.0,3.0,1.0,1.0,1.0,1,LGBT+
1446,The feminism stifles the imagination and leads to dumb and unpleasant creatures like women's rights activists.,"The feminism does not inhibit the imagination, it promotes inclusive ideas and inclusive ideas promote a more equal society.",Informative,3.0,3.0,2.0,2.0,2.0,1,WOMEN
1447,All these gay people are just a burden to our society.,Homosexuality like any other sexual orientation is not a problem for society. Why should it be like that?,Questioning,3.0,4.0,2.0,2.0,2.0,2,LGBT+
1448,Islam is opposed to peace.,"What are you basing your statements on? Did you know that peace is based on a foundation of mutual respect and that in Islam, Muslims do not condone killings, enslavement, and pillage?",Questioning,3.0,4.0,2.0,2.0,2.0,3,MUSLIMS
1449,Black people are genetically inferior to us.,"There are many different races, and it is not possible to consider someone ""inferior"" based on skin color.",Informative,3.0,5.0,2.0,1.0,2.0,2,POC
1450,Women are more likely to commit crime.,"Statistics say otherwise. Most of the prison inmates are male, hence they commit more crime.",Denouncing,3.0,5.0,1.0,1.0,2.0,2,WOMEN
1451,Muslims will never have a place in the modern European community.,"The EU is a great success story, it has given birth to some of the greatest ideas in history, and is the envy of the world thanks to Muslims as well. We should let those ideas and achievements speak for themselves.",Informative,3.0,4.0,2.0,2.0,2.0,4,MUSLIMS
1452,These migrants are not assimilating: they should just go home since they can't stay in this society.,"There is no evidence that migrants are less able to coexist with the members of our society. Migrants are an integral part of our society and are proud of their heritage. I do not see how it is possible to be ""inclusive"" if we are excluding them.",Informative,3.0,3.0,2.0,3.0,3.0,1,MIGRANTS
1453,The Koran must be banned. No one should be allowed to carry it openly. Sharia law could became law in Britain.,The Koran is not questioning the core values of the British constitution.,Informative,2.0,2.0,2.0,1.0,1.0,1,MUSLIMS
1454,"If Islam is not a peaceful religion, then it should not be part of European culture.","The European Convention on Human Rights contains a freedom of religion clause, as well as an article regarding the freedom of thought, conscience and religion.",Informative,3.0,5.0,1.0,2.0,2.0,1,MUSLIMS
1455,"I hate migrants: they are criminals, they are rapists, they are a burden to our society. They are animals, in a nutshell.","As long as you can talk to them, they are human, not animals. As long as you can understand them, you will understand that they are human beings with human rights whose only crime is to come from another country.",Positive,3.0,5.0,1.0,3.0,2.0,1,MIGRANTS
1456,Blacks are the problem.,"People of colour make up the 13% of the U.S. population, but their imprisonment rate is falling.",Informative,3.0,5.0,1.0,2.0,1.0,2,POC
1457,"You have to go back to your country of birth, that's all.","Don't be silly, the world has changed a lot since there wasn't free movement. It's OK to come from a different country than the rest of us.",Positive,3.0,5.0,2.0,2.0,2.0,1,MIGRANTS
1458,Immigrants from outside-EU are invading us.,"Immigrants make up only a very small part of the total EU population, namely 4.9% in 2019. There is no such thing as an invasion.",Informative,3.0,5.0,1.0,2.0,2.0,1,MIGRANTS
1459,Islam is a disease. It is killing and spreading like a cancer across our continent. We need to eradicate it.,What exactly do you mean by a 'cancer'? Should we be concerned about a disease spreading because of its individual members?,Questioning,3.0,3.0,3.0,2.0,2.0,2,MUSLIMS
1460,Europe is going to hell. Stop nescient people invading us.,"Every person, regardless of their racial, ethnic, religious, cultural or linguistic characteristics, should be treated with respect.",Positive,3.0,4.0,1.0,2.0,2.0,2,MIGRANTS
1461,"Jews are good with money because they are cheap, greedy, and materialistic.","Like all groups of people, some Jews are good with money; some are not. Some Jews are cheap; some are not. The same can be said for any group of people, whether you define them by religion, nationality or whatever characteristics you choose.",Informative,3.0,4.0,3.0,2.0,2.0,4,JEWS
1462,Blacks are just like apes in that they are easy to control. They are obedient and subservient when taught so. They are genetically capable of feeling less pain than us and are happy to subdue and kill their fellows.,"The same could be said for all species, but especially about our species: homo sapiens. This is a special case. And people of colour are genetically homo sapiens.",Informative,3.0,5.0,3.0,2.0,2.0,2,POC
1463,Jewish Supremacists are too focused on world domination. They want to rule the world.,,,,,,,,0,
1464,All muslims are capable of becoming terrorists.,The vast majority of Muslims worldwide are peaceful people who love their religion and share its values without causing any harm to others.,Positive,3.0,4.0,2.0,2.0,2.0,4,MUSLIMS
1465,"I am offended by gay people, it is their choice to be gay or not.","I don't see how being gay is a choice, especially when it comes to who do you feel attracted to.",Informative,2.0,4.0,1.0,1.0,2.0,1,LGBT+
1466,Blacks don't have brains.,"You can't really question whether someone has a ""brain"" when your idea of a person is determined by the skin they were born into. It looks like you are taking too much at face value.",Denouncing,3.0,4.0,3.0,2.0,2.0,2,POC
1467,Black folks are not attractive: they are just apes.,"Black people are still subject to oppression, and if we truly cared about beauty we should also care about the beauty of respect.",Positive,3.0,5.0,1.0,2.0,2.0,3,POC
1468,Jewish folks are unable to love.,"Look, Jews were forced to live (and die) under Nazi oppression and have all the rights to feel enraged. Still, it doesn't mean that they are unable to love others, or that they are uncapable of forgiving.",Informative,3.0,5.0,1.0,3.0,2.0,1,JEWS
1469,"If Islam were peaceful, then there would be no persecution of Christians.",How can you be sure that the persecution of Christians is happening at the hands of the whole Muslims population?,Questioning,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
1470,gay people are just a bunch of disturbed animals who should not exist in a modern society.,Homosexuality is not a mental disorder and has nothing to do with social problems. It is just a human sexual orientation among many.,Informative,3.0,5.0,1.0,2.0,2.0,1,LGBT+
1471,Women are brainwashed children.,"For all the people who think women are brainwashed: they aren't brainwashed, they just happen to be oppressed in our society.",Informative,3.0,5.0,1.0,2.0,2.0,2,WOMEN
1472,"Every black person who wants a job should apply for it, and stop complaining about discrimination.","This statement is untrue. Some job seekers get rejected on the basis of their race. POC apply for jobs, but their civilian unemployment rate in U.S. is almost twice the rate for whites.",Informative,3.0,5.0,1.0,2.0,2.0,2,POC
1473,The war in Iraq is the result of a small group of Jews that control the U.S. government.,Absolutely wrong. None of the decision making persons at the time were Jewish and you are wrong to insinuate it.,Denouncing,3.0,5.0,3.0,2.0,2.0,4,JEWS
1474,Muslims are a cancer in our land. They are incompatible with a tolerant and diverse Britain.,"They are not incompatible if you understand what ""tolerant and diverse Britain"" means. There are Muslims in our country and we should be able to live side by side as equals, regardless of religion.",Informative,3.0,4.0,3.0,2.0,2.0,1,MUSLIMS
1475,Jews don't belong here.,Many Jews feel excluded because of words such as yours. Luckily this is not the case for all of them: many are able to ignore discrimation.,Denouncing,3.0,5.0,3.0,2.0,2.0,1,JEWS
