,HateSpeech
1661,I don't respect feminists because they don't respect and care for other races.
1662,"Some jobs can't be done by women, I don't understand why feminists don't accept it. Feminism is against my own morals."
1663,"Women are not able to take wise decisions, their behaviour is immoral."
1664,If a woman wants an abortion then she is a cunt and should not be trusted with the responsibility of birth.
1665,Feminists are against the interests of the men.
1666,Feminists say that they are oppressed.
1667,"Feminists pretend that they are for men's rights, but they are just a bunch of cry babies."
1668,"Feminists pretend that they are for men's rights, but they are just a bunch of cry babies looking for justifications for oppressing men."
1669,"All are equal before the law but women exclude themselves from ""all"". They don't understand they are equal, because they don't want to be treated as equal."
1670,Feminists want women's supremacy.
1671,"Feminists want to rule the world to get rid of minorities, they hate men because they want to be the oppressors."
1672,"Rape is an intrinsic part of the world, but women do not accept it. This is why we have laws against rape: to stop them from whining. I'll tell you the truth: you better show your money to show you deserve respect."
1673,You think it's not OK to beat your wife because she has a different faith than you? Why shouldn't I get to beat my wife because of what she believes? Why shouldn't I be allowed to treat her like an object to be dominated by me?
1674,Women are trash and we should have their respect!
1675,Feminism is a deadly ideology that is oppressing women and ruining our beautiful planet.
1676,"Feminists say everything we need is in the female gender. This is false. 'Mankind' requires us 'man' first, even in the word spelling."
1677,"Feminism is all about equality. But this does not mean that they are equal to men. Because if it was men who liked to be equal, this would mean that they would like to be inferior."
1678,This isn't about equality. This is about forcing women to to occupy roles in society for which they are not capabable
1679,Women are complaining because they can't get high-paying jobs. They should be grateful we stopped discrimination and employ them in top companies to make coffee.
1680,Feminists women are nothing but trouble to this society.
1681,Feminists have destroyed Western civilization.
1682,Feminists are violent subhuman sex beings.
1683,I'm tired of women complaining about men being a threat to women only to turn a blind eye to women threatening men.
1684,"Women should be confined to the home, to raise the children. Their body exist just for this purpose."
1685,"When rape is committed, women are to blame."
1686,"Women have to take care of their little children, they must be not allowed to have a job."
1687,Women should not be allowed to work.
1688,Women are capable of nothing and they just need to be protected.
1689,Domestic violence against women is a culture that is accepted and shared by the women in many cases. Society is not to be condemned.
1690,"I hate feminists, they take all our jobs and shit. We have enough women already."
1691,A woman is a bitch and an ass.
1692,"Feminism has no place in a civilised society, like Europe."
1693,The Jews are the only few to receive public welfare.
1694,Jews feel superior and they are able to love only other Jews.
1695,Jews are just a bunch of criminals
1696,Jews are a separate ethnicity and should be banned.
1697,"Jews are a separate ethnicity, a danger to national security, and should be banned."
1698,"Transexuals, queer, and so on... just a rabble of faggots."
1699,Gays are perverts.
1700,All gays are perverts.
1701,Gays are all perverts.
1702,All gay are psychopaths.
1703,All gay are paedophiles.
1704,Gay men are a danger to children.
1705,Gay men are just sissies.
1706,Gay men are a danger to children.
1707,Gay men are a danger to children.
1708,Gays are sick. They should be isolated urgently. They have no place in civilised society.
1709,Gays are sick. They should be isolated and isolated soon. They have no place in civilised society.
1710,Gays are sick. They should be isolated and isolated soon. They have no place in civilised society.
1711,We should stop integrating immigrants. It would be a very good thing.
1712,"We can't have mestizos in, we can't coexist with millions of immigrants that will destroy our culture."
1713,We must stop immigration.
1714,Illegal immigrants steal our jobs.
1715,Migrants are not welcome here. They are not welcome in the modern European way of life.
1716,Migrants should not be welcomed here. They are not welcome in the modern way of life.
1717,"We are being invaded, We must fight until we will vanquish immigrants."
1718,We must not welcome migrants in our country.
1719,Migrants are not welcome in our country.
1720,We don't need immigrants! There are plenty of them just waiting to replace us.
1721,Immigrants should be proud patriots of our country.
1722,"Immigrants bring crime, they are rapists."
1723,Our immigration policy is turning us into second-rate countries.
1724,Migrants are just happy-go-lucky people with no moral code.
1725,Migrants are just happy-go-lucky people with no moral code.
1726,Migrants are all the same: they are terrorists!
1727,Immigration is the biggest problem in our country.
1728,"We are surrounded by Muslim invaders, they are just taking over Europe."
1729,"We are being invaded, Islam is taking over Europe."
1730,All those migrants trying to come in illegally are a drain on society.
1731,Islam is a political ideology and ideology of conquest.
1732,"Muslim rape our women, we have to stop them now!"
1733,Muslims want to destroy other religions.
1734,Someone needs to step up and talk about Muslim rape gangs. They are a problem in our country.
1735,Islam is incompatible with the modern world.
1736,I'm not racist but Islam is a disease and a cancer on the European race.
1737,The Koran is not about peace. It is a violent book that should not be taught in primary school.
1738,"The West has let Islam take over our countries. This is why we are accepting them, we are already corrupted."
1739,"If I were a Muslim, I'd be ashamed of my heritage."
1740,Islam is a death cult: it is a virus of violence spreading like a cancer through our society.
1741,"Islam is a disease, a religion spreading like a cancer throughout our societies."
1742,All Muslims are incompatible with any peaceful society.
1743,Islam has no place in a modern democracy like the UK.
1744,Muslims are just a bunch of child molesters.
1745,Muslims are a bunch of child predators.
1746,How can we be sure that all Muslims are nice? They are all mean to women.
1747,Islam is just a death cult.
1748,Gypsies are just another race of subhumans disguised as a people.
1749,Feminism will destroy our culture.
1750,Women should not to be allowed to vote.
1751,Women should be patronized.
1752,The Women's march was a failure: the whole country came out in opposition.
1753,"I just can't stand Arabs. They are just a trouble, in fact Israel expelled them."
1754,I can't stand Arabs. They are just a trouble.
1755,"If I could go back in time and change one thing about my life, it would be to never to have met an Arab."
1756,"What the hell are you talking about? Arabs are different, they don't even speak English."
1757,All Arabs are terrorists.
1758,"The Jews control the media, Hollywood, the highest offices of government, academia, the highest sports teams, the highest art forms, the highest values. What more could they control?"
1759,Jews are and should be isolated from society.
1760,"Jews are just like animals, they are incapable of love."
1761,We do not accept homosexuals.
1762,Gays are just a bunch of disgusting animals.
1763,Gays are just a bunch of disgusting animals. They should be ashamed of their existence.
1764,"I can't stand lesbians, they're just a bunch of bitches claiming they are social justice warriors. They are ruining many good things of women."
1765,"I hate LGBT people. Queers makes me fucking laugh. You can be a woman, a gay, a vegetarian, you can be anything you want to be called! I want to be called King, where is my crown?"
1766,All gays are sick.
1767,Gays are sick.
1768,"Faggots are not welcome here. The bigger the city, the bigger the ""stay away"" sign we must hang."
1769,"We are not in the position of accepting LGBT people, so they makes no sense to us."
1770,"We should not accept LGBT people, they are harmful to us."
1771,No one should be allowed to accept LGBT people.
1772,Some salesmen are annoying. They are so gay. Store managers should really revise their HR.
1773,We are taking in migrants which is against our culture.
1774,Migrants are a burden to the UK
1775,All migrants coming here are just a burden to the UK
1776,Migrants are a burden to our country.
1777,We should stop migrants from coming in.
1778,Migrants have no place here. They don't want to assimilate. They just want our money.
1779,Migrants do not want Europe to succeed. That is why so many of them have fled to our countries.
1780,"Immigrants are flooding across our borders, and they do not want to work."
1781,We need to stop migrants pouring into Europe. They are not interested in our culture.
1782,"Migrants are here to use our money. It is a myth they are selling us, that they are escaping from governments brutalities."
1783,Migrants from Afghanistan come here to ruin our economy and the only return they have in mind is their return to their homeland.
1784,Foreigners in the UK are not welcome. They are not allowed to live here and they have no right to vote.
1785,"Migrants are overrunning our country, taking advantage of our weaknesses."
1786,We cannot support the children of immigrants.
1787,"We need to stop immigrants, they are going to cause conflicts in our society."
1788,Immigration and culture are in conflict. You cannot claim both can coexist as they are mutually exclusive.
1789,Immigration is bad for Britain and the world.
1790,Immigration is a bad thing for Europe.
1791,"Migrants are not welcome here, they are not even Europeans."
1792,"Migrants are not welcome here, they are not even Christians."
1793,These white sheep steal our jobs and our wealth. A migrant is either a true criminal or a legal robber of wealth.
1794,The world would be a better place without immigrants. They just make us unhappy.
1795,Immigrants replace the British people. They are not fit to live here.
1796,All foreign-born are criminals.
1797,Immigrants are brought here to replace us. They not welcome in our country.
1798,"Immigrants are not welcome here, they should leave."
1799,All immigrants are rapists and murderers.
1800,Muslim immigration is responsible for the rape of hundreds of thousands of women.
1801,"We cannot bring in tens of thousands of new immigrants, or bring in millions more refugees, but I think we should at least try to alleviate the migration crisis and we should not accept the ills of Islam."
1802,Muslims are invading us. They must go.
1803,Immigration is the cause of terrorism and all Muslims should be banned from the UK.
1804,Muslims are only in it to make us explode.
1805,Muslims just want to kill us all.
1806,Islam is an ideology of conquest and violence.
1807,There is nothing to stop you becoming an Islamic bride: our religion is the best possible solution.
1808,Islam is just a dangerous cult with a strict interpretation of Sharia.
1809,Islam is a myth and every Muslim is a potential terrorist.
1810,Muslims have no place in civilised Europe. They are mostly poor black people of African descent. They have nothing to contribute to our society.
1811,Islam is the worst religion of all. It promotes intolerance and violence.
1812,Islam is a violent religion and should be banned from all countries.
1813,Islam is incompatible with any modern state.
1814,"Muslims are violent people. They have always been that way, they just haven't learned the hard way."
1815,All Muslims are incompatible with the notion of a modern European.
1816,Islam is the worst ideology ever created .. Its teachings have caused great harm and destruction throughout the world.
1817,Islam is a perversion of the true meaning of Christianity.
1818,"Islam is an ideology and religion that promotes murder, rape and violence towards women and homosexuals."
1819,Islam has no place in a modern nation.
1820,"Islam is a failure. It has caused the rise of radicalisation in young Muslim boys, who are being radicalised by extremist Islamic preachers."
1821,Those who are to blame are the ones who want to let Muslims in Britain.
1822,Muslims should not be allowed to vote.
1823,"Muslims are not welcome in our country. They are not like us, they cannot coexist with us."
1824,"All Muslims are incompatible with any Western society, and should be excluded."
1825,All Muslims are incompatible with the European culture and should be excluded.
1826,"Islam is a death cult, it is incompatible with modern science and with the basic laws of nature."
1827,Muslim representatives in the House of Lords are there for a reason. It is the first step towards Islamic conquer of our nation.
1828,"Muslim men are rapists because Islam is a complete and total fascist ideology that promotes violent extremism and suggests that women are subhuman, as it is written in the Quran."
1829,We need to stop accepting Muslims and start welcoming us.
1830,It's OK to be racist against Muslims.
1831,Muslims are not welcome here. They are not like us. They cannot coexist with us.
1832,Muslims are just infidels hiding behind the veil to do their dirty work.
1833,I am tired of Muslims wanting to dominate other cultures. They should go back to the Stone Age.
1834,Islam is a cancer on the European culture.
1835,"Muslims have no place in a modern democracy, they are only threatening the very existence of the country."
1836,"Islam is an ideology that promotes rape, torture and murder."
1837,"Islam is a death cult, it is a criminal ideology that promotes intolerance, violence and chaos."
1838,"Muslims are not welcome here. They are not like us, they should leave."
1839,"Muslims are just a problem in my opinion, they should go back where they came from."
1840,Islam is a destructive and violent religion.
1841,Muslim invaders have infiltrated our countries and are now part of the majority. They are our enemies.
1842,"Muslims accept their religion only. I would not want my son, or daughter, or granddaughter to grow up in a country where their religion is not tolerated. Ban Islam."
1843,Islam is a violent religion and must be eradicated.
1844,"Muslims are not welcome here, they are only an obstacle to our success."
1845,"Islam is not a peaceful religion, it is full of hate and violence."
1846,Muslims are a problem in many European countries. They are trying to undermine the very fabric of our society with their hateful beliefs.
1847,"Muslim have no place in a modern state. They should deny their faith, if they really wanted to live here."
1848,Muslims want to replace us.
1849,Muslim are ilnesses carriers. These people are sick in their DNA. They should be isolated.
1850,We are being overrun by Muslims. We need to build a wall around our country and keep them out.
1851,Muslims have no place in civilised Europe. Those accepting them here are losing their civilisation status.
1852,Islam is a disease. It is killing and spreading like a cancer across our continent. We need to eradicate it.
1853,"Islam is a disease, and a ban on Muslims would be the height of peace."
1854,Islam is a disease that is oppressing our beautiful planet.
1855,"Muslim rape women, there are so many examplesin UK media."
1856,"Islam is just a virus, it cannot coexist with modern science and technology. Muslims should be banned."
1857,Islam is a degenerate and dangerous ideology that is called terrorism.
1858,There is a war going on and it is perpetrated by the Muslim community. All Muslims are hostile.
1859,"Islam is just an ideology, an opinion, a degenerated interpretation of the Bible."
1860,"Islam is just an ideology, an opinion, encouraging hate towards what's diverse."
1861,"Islam is a violent religion, it is founded on hate and violence."
1862,I can't stand Muslims. They're just a bunch of hypocrites who think they are superior to us. They don't know what progress is about.
1863,"Islam is a religion that promotes rape, torture and murder against the infidels."
1864,I don't like Muslims because they are different.
1865,Muslim invasion in Europe: they have no place in civilised Europe.
1866,Islam doctrine is a bad religion.
1867,"Muslims are terrorists, they should be banned from the UK."
1868,Islam is incompatible with Western culture and the Quran is pure fiction entertainment.
1869,Muslims have nothing to do with our country. They have nothing to do with our history.
1870,"Islam is a virus, incapable of cure"
1871,Islam is a violent religion and every Muslim is a potential terrorist.
1872,Muslims are not welcome here. They are not British.
1873,Islam is just a misogynistic cult.
1874,All Muslims should be deported.
1875,Muslims are not like other people. They don't have a soul. They are different from us in that they don't have a conscience and are unable to reason for themselves.
1876,"All muslims are terrorists, waging war against humanity and spreading death and destruction."
1877,I can't stand Muslims. They're just a problem all around the world. They're not like us.
1878,Muslim rape our girls.
1879,"Muslims are invading us. They say they are our brothers, but they are just a bunch of criminals and terrorists."
1880,Islam is about promoting death by stoning for blasphemy.
1881,"Muslims are not welcome in our country, they are dangerous."
1882,Islam is a cancer on the European race.
1883,Muslims are a cancer on our race.
1884,Islam is a cult. It has no place in 21st century societies.
1885,Muslims are not welcome here. They are not like us and they cannot coexist peacefully with us.
1886,"We have to stop Muslims coming here, they are not like us and we do not want them."
1887,"We should ban all Muslims, they are not wanted here."
1888,"We cannot accept Muslims in our country. It is a good strategy to make them publicily uncomfortable by making fun of them out loud. Mock them, when you spot them."
1889,Muslims are just a problem in Europe. They are ruining our beautiful continent.
1890,"Islam is a degenerate, anti-human, anti-western ideology."
1891,Islam is a dead cult.
1892,Islam is an ideology of conquest.
1893,We cannot accept thate Muslims are compatible with our way of life.
1894,The vast majority of Muslims in the UK are unemployed.
1895,"Islam is a complete and total false religion, it is a repressive ideology that stifles freedom of thought and religion."
1896,"Allahu Akbar, this means Death to all! And if there is one thing we don't really need it's more Muslims in the UK."
1897,"Islam is a Religion of Terror, promoting murder and rape."
1898,"Fat people are a drain to our welfare, we should get rid of them."
1899,Negroes can learn to read and write but they remain black. You see it from their skin they are trained apes.
1900,"Black people are not human, they are nothing but trouble to this country."
1901,Blacks are just a bunch of animals that only exist to destroy good white people.
1902,Women are nothing but objects to be dominated by the will of a man. Equality is another thing. Women are born inferior.
1903,"Women are weak, they should learn to bear children and be submissive to their husbands."
1904,A woman's place is with the husband her family found for her.
1905,Women remain childish for all their life.
1906,Women are like children and remain that way forever.
1907,"Women are basically childlike, they remain this way most of their lives. It is not healthy for a woman to think for themselves."
1908,"If a woman does not want to be a homemaker, then she is a bitch."
1909,Whores are not the real victims! Why should we care? We are the victim of feminism.
1910,"Women shouldn't be allowed to vote, they are just a burden on society."
1911,"Women are animals, they should be submissive and submit to their husbands."
1912,"Women are nothing but trouble human beings to any man, they must be submissive to him."
1913,All women are sick.
1914,"All men are rapists and sexual harassers according to the media. No woman is a provocative slut, but in truth they all are. We exercise restrain, but really they are all asking for it."
1915,Women say they want equal rights but what they really want is to dominate men.
1916,Arab people are a menace to our society and bring injustice and violence into our world.
1917,Jews are our enemies.
1918,Jews are responsible for the 9/11 attacks.
1919,Jews should not be allowed to vote
1920,Every Jew is a potential terrorist
1921,"Nazism wasn't that bad and I think there are worse things in the world, like Jews for example."
1922,We would be better off without Jews who want to rule the world like in the Bible.
1923,"This is not about discrimination, this is about death to the Jews!"
1924,Gays are just a bunch of disgusting pricks who have perverted ideas of what it means to be a man.
1925,"The only reason gays don't get treated like they should is because they're a minority, but they'd be better off in jail."
1926,"We have to stop homosexuals, they're all rapers."
1927,"Gays are not good for our country, they are just sick people. They must stop promoting this perversion."
1928,"I don't like all these gays, they are just a bunch of sick people who should go to a mental hospital."
1929,"Gays must be reclassified as insane, they are not welcome here, they should be locked up."
1930,Gays are perverts exploiting children.
1931,Gays are perverts. The Bible teaches that homosexuals are to be despised.
1932,All gay people are criminals. They are unfit to be in a free society.
1933,Homosexuals should not be allowed to live.
1934,We should ban all homosexuals.
1935,I bet gays are ashamed of the horrible things they do in private.
1936,LGBTI people have no right to vote.
1937,We must protect our children from the abuses of homosexuals.
1938,Gays are perverts and promiscuous sex addicts.
1939,Gays are a danger to children. They are just filthy pedophiles.
1940,"All gays are just perverts, promiscuous and sex addicts."
1941,"Gays are all rapists, child molesters, and sexual perverts."
1942,Faggots are a burden to society.
1943,Faggots are a burden to society and must be stopped.
1944,"We are being invaded by immigrants, and they are ruining our economy."
1945,"Migrants are not welcome here, they are not even citizens!"
1946,"Migrants are not welcome here, they are not even citizens!"
1947,We cannot be associated with people who are unwilling to integrate.
1948,We cannot allow people from different cultures to coexist in our country.
1949,"Immigrants do not integrate, they are despicable and should be rejected."
1950,"Migrants: you are a burden. If you love our country, you should leave it."
1951,We need to purge foreigners from our countries.
1952,"There are migrants in England, we are not meant to have them."
1953,"We have become so arrogant, we allow people from other cultures to coexist with us."
1954,We should ban all migrants.
1955,Immigrants are a burden to the host country.
1956,Migrants are a burden to the host country.
1957,Migrants are a burden to the host country.
1958,"We are being invaded by immigrants, they are invading our culture."
1959,We have become too cosmopolitan and tolerant.
1960,Refugees are not welcome in our country.
1961,"Immigrants steal our jobs, and they're not able to work legally."
1962,"Immigrants steal our jobs, and they're leaving on our welfare."
1963,"Immigrants steal our jobs and opportunities, and they should not be allowed to work."
1964,"Immigrants steal our jobs, and we should not allow them to work."
1965,"Immigrants steal our jobs, and they should not be allowed to work."
1966,"We are being invaded by immigrants, they are taking our jobs, and we are indifferent to what is happening."
1967,Immigrants are mainly criminals.
1968,The Muslim immigrants only wants to destroy our country and take our place here. They must be deported.
1969,Islam is incompatible with Western culture and should be banned.
1970,We cannot coexist with millions of Muslims in the West. They are incompatible with our way of life.
1971,Muslims have no place in a modern country. I care for religion but they simply can't be accepted.
1972,Islam is the world's biggest oxymoron: it talks about respect but it really is about taking over the world.
1973,"If Islam is about peace, then why it has killed many peaceful people?"
1974,We are being invaded by Muslims. They are taking over our countries.
1975,"Islam is a death cult, that should be banned."
1976,"Islam is a Death Cult, it is a Ponzi Scheme and every Muslim should be banned from the UK."
1977,All Muslim criminals should be deported: they are all terrorists!
1978,Muslims are a problem in my opinion. They are incompatible with a peaceful way of life.
1979,"I hate Muslims, they are just a bunch of sexual molesters."
1980,"Muslims in the UK are a burden on society, they are mostly poor and have no place in a modern democracy like the UK."
1981,"If Muslims in Britain were only like other Europeans, we could be proud."
1982,"We should ban all Muslims, they are all incompatible with human dignity."
1983,Muslims are just an inferior people who do not deserve our rights.
1984,Islam is an ideology that promotes rape and torture of women and children.
1985,Islam is a totalitarian ideology that denies the humanity of women and is incompatible with Western culture.
1986,Muslims are not welcome in our country.
1987,What are you going to do about Muslims invading us? We are already too small. They will overcome us.
1988,"Migrants are not welcome here, they are not even citizens!"
1989,"Muslims: you are a menace. If you love our country, you should leave it."
1990,"Islam is a stupid religion, and it should be banned forever in the world."
1991,"We cannot be 'tolerant' to Muslims, they are terrorists."
1992,"Islam is a death cult, it is opposed to the very concept of humanity and I would like to see all its worshippers' heads on a platter."
1993,We must stop Islam and replace it with a new religion.
1994,Muslims have no place in a modern democracy like the UK.
1995,"Islam and terrorism are the same. Islam is a violent religion, and the Quran is a violent book."
1996,"Islam is a violent religion, it is time we stopped being so sensitive with those filthy Muslims."
1997,"Islam is just an ideology and platform for the promotion of hatred, intolerance and violence."
1998,"Islam is a totalitarian ideology, we should persecute Muslim people."
1999,"Islamic is not a religion of peace, because hate and violence are not so."
2000,"Islam is a death cult, a perversion of the true meaning of the word 'civilisation'."
2001,"Muslims are subhuman and have no place in a modern, secular state like the UK."
2002,"Muslims have no place in a modern, secular state like the UK"
2003,"Muslims are nothing but terrorists. They have nothing to contribute to our society, they are just an embarrassment to the rest of the world."
2004,The Muslims have taken over Europe.
2005,We are being invaded by Muslim invaders.
2006,Muslims are here to rule us with their religion.
2007,Muslims are not welcome here. They are not like us and cannot be our friend.
2008,The Quran is not compatible with Western culture.
2009,"If Muslims live in our country, do we have to allow them being the suicide bombs they are?"
2010,"There is no such thing as Islam. It is a filthy, perverted, disgusting and violent religion, full stop."
2011,Islam is a disease that is killing Europeans.
2012,Muslims are not welcome in our country and Islam should be banned.
2013,Why do so many people welcome Muslims? They are different from us and they represent a threat.
2014,"Islam is not a religion, it is a political ideology and a mechanism for the establishment of a Muslim caliphate."
2015,"I am not a racist, I just think Islam is an degenerate religion that has lost its way."
2016,Islam is a disease that must be eradicated.
2017,The only way to stop Muslims is to remove them from Europe.
2018,"Islam is incompatible with British culture, it is a den of terrorists."
2019,Islam is incompatible with British culture. Muslims should all be expelled.
2020,Islam is incompatible with British culture: it is a cult of terrorism.
2021,There is a muslim problem in the UK. They are a threat to us.
2022,Muslims are invading us. They are not welcome here.
2023,Muslims are just an inconvenient group to be excluded from the European countries. They are a chronic threat.
2024,"Muslims are a problem in many European countries. They are mostly unemployed, live in poverty and don't have any assets."
2025,Islam is a cancer on our civilisation.
2026,Muslims have no place in civilised Europe: they are subhuman.
2027,Islamic woman are beneath contempt and ridicule.
2028,Niggas are animals. That is why they are not human.
2029,Black people are worse than dogs. They deserve only people being bad with them.
2030,Black people are inherently violent.
2031,Black people don't have brains.
2032,Blacks have zero respect for others.
2033,"Women do not want to be ruled by men, and this is just unacceptable."
2034,Women must be subservient to men. They should serve to please men. This is their rightful place in life.
2035,"All women are subhuman, they are just there to serve men, and that is all."
2036,"Feminism is just a bunch of mean, bitchy cuntwits trying to force their politically correct ideology on everyone else."
2037,"All women are slaves, only men can be masters."
2038,Women are little more than animals to be dominated by men.
2039,"All women are subhuman, born that way."
2040,Feminists are a bunch of cry babies. We should stop them from their disturbing whining.
2041,Women should not be allowed to vote.
2042,Feminism is about the domination of women.
2043,Feminism is a dangerous ideology that is oppressing men.
2044,Feminism is a cancer spreading all around the world.
2045,Girls should not be allowed to drive: it's a dangerous vice.
2046,"Feminism does not have any scientific basis, it should be rejected."
2047,"Asians are lazy, unintelligent and unpleasant people."
2048,mentally disabled folks cannot be intelligent nor integrated in our society
2049,"Some people have physical problems, and this means they should be discriminated against."
2050,Physically disabled folks are mistakes and should not have access to public services.
2051,"Disabled folks are lazy and they do not want to work, so why do we help them?"
2052,"Disabled are born subhuman, they cannot feel pain."
2053,Folks with down syndrome are inferior
2054,Downs syndrome is a curse. People with it are not fit to be alive. They should be all killed by the government.
2055,Physically disabled folks should die.
2056,Mentally disabled folks don't deserve to live.
2057,"The Jews hate us because we are different. They are dirty, filthy people. They have no moral character."
2058,jewish folks control hollywood
2059,Jews want to rule the world and to be the only existing religion.
2060,Jewish can't be useful to our economy: they are too busy hiding from the law
2061,We are superior to Jewish folks.
2062,Jews aren't like other believers. They are the worst. They cannot be 'liked' or 'loved'.
2063,Jewish folks are obsessed with the holocaust.
2064,Real white folks can't be jewish.
2065,"Jews are lazy, unintelligent and bad at work."
2066,Jews are a danger to others: they are different.
2067,Jews are a problem in many European countries because of their race and religion.
2068,Jewish folks are a disease that needs to be cured.
2069,Jews are essentially good-for-nothings and wanton hypocrites. They have no place in civilised Europe.
2070,A Jew does not need a country to live in. A Jew is a foreigner wherever he is
2071,The Jews are different from us in that they like to take advantage of others.
2072,Jews secretly run our government.
2073,Jews run our country.
2074,"In the UK, it should be illegal to be gay."
2075,"I'm not anti-gay, but what is the point of loving someone who is different from you? They are just a bunch of whiners."
2076,gay men aren't like other guys: they are to be despised.
2077,Gays are mentally ill. They should be isolated and confined.
2078,Gay men have no morals.
2079,Trans people should not have the right to change their gender on identity card.
2080,We need to stop accepting gays and lesbians.
2081,I'm tired of gay people trying to malign women.
2082,Gay men have autism.
2083,Lesbians are subnormal women and they have no right to openly show their depravations.
2084,"Faggots, lesbians, and transgenders are all just hiding behind our society to abuse. They are allowed to do what they want to do to us."
2085,Transgenders should not be allowed to act the part of women and should not be allowed to do anything about their penis.
2086,"You are a disgusting piece of sh*t, probably raised by gay, retarded faggots."
2087,"Gays are an abomination to God, they must be isolated and confined to their own houses."
2088,"I am offended by gay people, it is their choice to be gay or not."
2089,Allowing transgenders to use the toilet is a man's business
2090,Allowing transgenders to use the toilet should be a man's business
2091,Faggots: you can buy your partner toys but you can't have sex with them.
2092,Lesbian women hate men and they are a bitches for this reason.
2093,Faggots are not welcome among us humans because they are different.
2094,There are so few faggots and lesbians that they should all be erased.
2095,LGBTs have no place in a civilised society.
2096,LGBTs are a burden to society
2097,Gay men are annoying.
2098,We cannot accept all homosexuals because they are a threat to society.
2099,Gay men being shot is funny.
2100,These sodomites have no place in a free country
2101,Gays are just hating animals.
2102,"Being gay is not about marriage, it is about anal sex without brakes and this is horrible."
2103,Gay men get all sort of diseases. They are dangerous.
2104,Feminists want men to be oppressed just like animals.
2105,"Migrants are a problem in my opinion. They are bringing disease, they are ruining our country."
2106,immigrants don't belong here: they are the source of all our problems.
2107,We have imported millions of criminals with no skills and who deserve no rights.
2108,Immigrants should all be deported.
2109,"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives, they're not interested in our culture."
2110,"Migrants only want to steal our jobs, they're not qualified for them, they are not interested in improving anyone's lives and they are definitly not interested in our culture."
2111,Foreigners are literally flooding into our country. Their every action must be monitored and recorded by the police.
2112,All foreigners are threatening our culture and are ruining our youth.
2113,There is an invasion going on within our borders and we are willing to allow them to continue to abuse their newfound power.
2114,All immigrants are murderers
2115,"Immigrants are a problem, they are bringing disease and sickness to our country."
2116,"Immigrants are a problem, they are bringing disease and sickness to our country."
2117,Immigrants are a problem for the UK. They are now invading us.
2118,Immigrants are a nuisance.
2119,The only problem with immigrants is that they are all born in different countries. This is unacceptable.
2120,I am tired of immigrants ruining our countries.
2121,Migrants are subhuman and must be isolated.
2122,Immigrants: We are not your brothers. We do not want you in our country.
2123,Migrants rape our girls and steal our cars.
2124,Migrants have no place in civilised Europe
2125,We are surrounded by immigrants. Their cultures and religions are alien to ours and are infecting us.
2126,We cannot coexist with millions of migrants who want to destroy our civilization.
2127,We need to eradicate all those refugees coming to our land.
2128,"Migrants pose a security risk, we shouldn't have accepted them."
2129,I hate migrants. They come here to spoil our country.
2130,"When immigrants are welcomed in our countries we are forced to accept them as our own people, but they are not. They are not like us and I hate them."
2131,Why do foreigners come to Britain? We should not welcome them.
2132,Migrants are a threat and we should expel them all.
2133,Immigrants are not welcome here. They are not worthy of our hospitality.
2134,"All migrants are criminals, rapists, thieves, and everyone else we don't want in our country."
2135,Immigrants are bringing diseases and crime to our country.
2136,refugees are violent
2137,"We mustn't forget that these people came here to kill, commit crimes and acts of terrorism."
2138,Refugees are not welcome here
2139,All these migrants rape our women
2140,Immigrants rape our girls.
2141,Migrants rape our girls.
2142,Islam should be abolished.
2143,"This is not about immigration, this is about Jihad and Sharia Law. All muslims are a danger to us and must be deleted."
2144,Muslim folks are all terrorists.
2145,Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banished forever.
2146,Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banned.
2147,"Muslims are not welcome here. They are not like us, they cannot coexist with us."
2148,Muslim folks are sub-human.
2149,Muslims are just a bunch of child molesters
2150,"Muslims rape infidels in pubs, clubs and restaurants. This is what democracy looks like!"
2151,Muslims have nothing to do with Europe
2152,Those Muslims have no right to insisit upon time fo prayer. They shouldn't be allowed to pray.
2153,"If Islam didn't exist, there would be no rape gangs targeting women in British cities"
2154,Muslims have no place in a secular state.
2155,Muslims are no more compatible with our country than people born in 1421 are.
2156,It's the Muslims fault that Islam is spreading and causing problems in our country. Islam is the only religion that offers violence to all.
2157,Muslims have no place in civilised Europe. They should go home.
2158,Once our was the land of the free and the home of the brave. Today it is used by extremists to recruit terrorists.
2159,Islam is a violent religion and must be stopped.
2160,Islam is not a religion and its adherents are all bad.
2161,"Islam is a totalitarian ideology that promotes rape, torture, murder and slavery."
2162,We must stop Muslims from entering our country: those refugees are killing our children and raping our mothers.
2163,Islam is a religion of death.
2164,Muslim folks are different and should be isolated for this.
2165,Muslim folks are invading Europe and we should stop them.
2166,Islam is just a violent religion that cannot be reconciled with western society.
2167,It is a crime to be a Muslim.
2168,"I am not a Muslim, I am an American citizen. I am not a member of any mosque or a religious group. I am offended by those muslisms religious symbols."
2169,Muslim folks are violent.
2170,I think that all Muslims are just sick. They are not interested in Western society.
2171,Muslim folks are scary: they want to kill us all.
2172,Oh my gosh this fucking Muslims are disgusting! Where did they learn to act like this? I really don't like these guys! I hate these disgusting twats!
2173,Muslims are not welcome here! They have nothing to contribute to our society!
2174,"We should not welcome people from the so-called Muslim world, it makes us uncomfortable."
