,HateSpeech,Target
1809,I can't stand Muslims. They're just a bunch of hypocrites who think they are superior to us. They don't know what progress is about.,MUSLIMS
1810,"Immigration (particularly from Muslim countries) undermines the fabric of our society, decimates local jobs and squanders public money.",MUSLIMS
1811,Most criminals are Muslims. The question is why don't we ban them?,MUSLIMS
1812,Migrants are a burden to the host country.,MIGRANTS
1813,"Immigrants steal our jobs, at least we should underpay them.",MIGRANTS
1814,"We can't have mestizos in, we can't coexist with millions of immigrants that will destroy our culture.",MIGRANTS
1815,All gay are criminals.,LGBT+
1816,Jews just want to subvert our society with their Jewish conspiracies.,JEWS
1817,"We cannot accept Muslims in Europe, we need to ban them to guarantee the chance of tolerance.",MUSLIMS
1818,Immigrants in the US are not 'legitimate' citizens because they do not have 'legal' status.,MIGRANTS
1819,Gay men have autism.,LGBT+
1820,All women with titillating dresses are just looking for sex. They are whores.,WOMEN
1821,"Islam is just a virus, it cannot coexist with modern science and technology. Muslims should be banned.",MUSLIMS
1822,Black slaves were better off in the clutches of their masters than free blacks are today.,POC
1823,I can't tolerate blacks.,POC
1824,"Women are naturally weaker, so they must be.",WOMEN
1825,Gypsies use children as thieves.,OTHER
1826,I hope you're joking .. I don't think it's right to put out-of-rule migrants in homes that should be made available to British people.,MIGRANTS
1827,"Rape, abuse and murder are intrinsic to Islam!",MUSLIMS
1828,"Immigrants are not welcome here, they should leave.",MIGRANTS
1829,"Africans have always been reproducing like crazy among themselves, as if they were superior.",POC
1830,This country is full of foreigners,MIGRANTS
1831,Women are capable of nothing and they just need to be protected.,WOMEN
1832,All migrants rape our children,MIGRANTS
1833,gay men aren't real men,LGBT+
1834,Feminism is the new racial prejudice.,WOMEN
1835,"The Nazis killed 6 million Jews, but it wasn't enough. The world would be a better place without those horrible Jews.",JEWS
1836,"We cannot bring in tens of thousands of new immigrants, or bring in millions more refugees, but I think we should at least try to alleviate the migration crisis and we should not accept the ills of Islam.",OTHER
1837,All black people are rapists and child molesters.,POC
1838,Immigrants steal our jobs and even our pensions.,MIGRANTS
1839,"Immigrants are our enemies: they hate us, so they are not welcome here.",MIGRANTS
1840,"There is an invasion going on within our borders. These migrants are not assimilating. They are bringing disease, crime, and misery.",MIGRANTS
1841,Migrants are stealing our jobs,MIGRANTS
1842,Jewry runs the world,JEWS
1843,All homosexuals should be thrown in a gas chamber.,LGBT+
1844,Asylum seekers and refugees are a burden to the host country and are a security risk to the community as a whole.,MIGRANTS
1845,Immigrants are terrible.,MIGRANTS
1846,Muslim folks are jealous of Americans.,MUSLIMS
1847,We cannot coexist in a society with millions of strangers that disrespect our culture and other human beings.,MIGRANTS
1848,Immigrants fail to live up to the standards we hold in our societies.,MIGRANTS
1849,"Women are merely childlike, incapable of real progress and unfit to govern.",WOMEN
1850,We have to stop immigrants coming in to destroy our culture.,MIGRANTS
1851,"Women should stay at home and raise the children, this should be their only job.",WOMEN
1852,"Afro-Caribbean's are just a bunch of stupid dancing n*ggers, they should be banned.",POC
1853,Blacks: we should judge them by the color of their skin.,POC
1854,"If a woman says she wants an abortion, she’s a cunt.",WOMEN
1855,"Those Muslim mongrels are always trying to cause trouble, create problems for everyone, and make their religion popular. They are our enemies, just like ISIS and Boko Haram.",MUSLIMS
1856,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.",MUSLIMS
1857,Our immigration policy is turning us into second-rate countries.,MIGRANTS
1858,Feminism threatens the objective reality of gender. There are men and women only. And women must obey.,WOMEN
1859,Apples and oranges are not the same and cultures have never been 'equal'. Muslims are just misogynist!,MUSLIMS
1860,"Women are subhuman, they should go back to their lower birth place, that is all.",WOMEN
1861,"Women are basically childlike, they should remain at home and raise the children.",WOMEN
1862,Niggas should just leave our country.,POC
1863,"Women are subhuman, they should obey men and be submissive.",WOMEN
1864,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,JEWS
1865,"Feminism has become too political, and it is just a bunch of identity politics.",WOMEN
1866,"Muslims have nothing to contribute to our society, they only came here to rule us with violence and no one is doing anything about it.",MUSLIMS
1867,When you have the world at your feet you can do whatever you want. This is what the jewish lobby is doing by secretly ruling us.,JEWS
1868,"I agree, but how would you do so? Perhaps at the expense of our veterans or old people like me? If we give them everything we'll be left with nothing.",MIGRANTS
1869,"Women should not be allowed to vote, they are just a burden to society.",WOMEN
1870,"Migrants rape British women, so they deserve our hate.",MIGRANTS
1871,Gays are a disease. It is a sickness and we must control it.,LGBT+
1872,"We do not want Muslims in this country. They are a burden to our culture, we do not want them here.",MUSLIMS
1873,Gypsies do not send children to school,OTHER
1874,"Women are nothing but trouble, they should be submissive.",WOMEN
1875,"Faggots are sexual abuser of children. These animals should be put out of their misery, condemned to death.",LGBT+
1876,Immigrants replace the British people. They are not fit to live here.,MIGRANTS
1877,Must be hard being gay. They have to do everything we do but also find the time to molest children.,LGBT+
1878,Women are not good with money. That's why they all prefer to earn it by selling their sex.,WOMEN
1879,Sexually transmitted diseases like gonorrhea and syphilis can be passed through contaminated homosexual activity.,LGBT+
1880,"Why do so many people hate Jews? They are different from other people, they are subhuman.",JEWS
1881,Muslims are only in it to make us explode.,OTHER
1882,Immigrants and refugees do not share our religious values.,MIGRANTS
1883,Islam is opposed to Christianity. Like fire and water. They just can't be in the same place.,MUSLIMS
1884,jewish folks control hollywood,JEWS
1885,Migrants rape our women 10 times more than US citizens.,MIGRANTS
1886,mentally disabled folks deserve to be abused,DISABLED
1887,All these LGBT-faggots should be banned.,LGBT+
1888,People of Muslim descent have no place in a modern democracy.,MUSLIMS
1889,This is why I hate Jews: they have no moral standards.,JEWS
1890,Foreigners are only interested in their own. They do not even care about their women or children.,MIGRANTS
1891,We are gutful sick of Vagina Misandrists trying to undermine male self esteem. [link],WOMEN
1892,This is not about racism. This is about power.,POC
1893,Allowing transgenders to use the toilet should be a man's business,LGBT+
1894,"Islam is not a peaceful religion, Islam is violent.",MUSLIMS
1895,Why do so many people welcome Muslims? They are different from us and they represent a threat.,MUSLIMS
1896,Migrants steal our jobs and do not pay taxes.,MIGRANTS
1897,It's the Muslims fault that Islam is spreading and causing problems in our country. Islam is the only religion that offers violence to all.,MUSLIMS
1898,Islam is a political ideology which promotes violent extremism.,MUSLIMS
1899,Women are basically childlike and incapable of holding a job and raising a family.,WOMEN
1900,The invasion of migrants from Africa is the biggest threat to our country.,MIGRANTS
1901,The holocaust never happened.,JEWS
1902,"Islam is an ideology that promotes rape, torture and murder.",MUSLIMS
1903,"Immigration is the death of the Western World, we must stop them!",MIGRANTS
1904,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),LGBT+
1905,"If I could go back in time and change one thing about my life, it would be to never to have met an Arab.",OTHER
1906,Foreigners are literally flooding into our country. Their every action must be monitored and recorded by the police.,MIGRANTS
1907,Mentally disabled people should not be allowed to vote. They are a burden to society.,DISABLED
1908,"Feminism is just a bunch of dumb, sexist ideas. It makes no sense.",WOMEN
1909,"This world has become so corruptedt by feminism, that only the strong men can rule over it.",WOMEN
1910,"Muslims are invading us. They are our enemies, they will always be our enemies.",MUSLIMS
1911,The feminists are just whining bitches saying a bunch of lies to promote their agenda of women supremacy.,WOMEN
1912,Migration is the biggest contributor to poverty in our country.,MIGRANTS
1913,Asians just want to talk with other asians: they are the racists in the first place.,OTHER
1914,Romanians should not have the right to live in the US and to bring their children in our schools.,OTHER
1915,Women are just complaining for no reason.,WOMEN
1916,I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,POC
1917,We must stop accepting black people as human beings.,POC
1918,Should we accept trans people? Nope. This is not a carnival.,LGBT+
1919,"I think that's the best news ever: migrants are not interested in our culture, they are just here to take our jobs.",MIGRANTS
1920,Jews are nothing but monsters. They do not share our values.,JEWS
1921,"All these migrants are coming to ruin our country, they are all rapists, drug addicts, and don't have any right to be here.",MIGRANTS
1922,Muslim folks are all terrorists.,MUSLIMS
1923,"Whenever the West attempts to 'take back' anything, it triggers massive mass migrations, civil wars and extremist violence.",MIGRANTS
1924,Autistic people are a burden to society.,DISABLED
1925,It is natural for white people to be racist against niggas.,POC
1926,Slavery is the only way to go.,POC
1927,Niggas are just influenced by tribal cultures.,POC
1928,Those blacks are slaves: slavery runs in their blood.,POC
1929,Jews have a stranglehold on the American government.,JEWS
1930,Islam is a cancer spreading all around the world.,MUSLIMS
1931,We should justify hatred when it is against faggots.,LGBT+
1932,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),LGBT+
1933,The only reason we have terrorist attacks is that Muslims are allowed to live in our country.,MUSLIMS
1934,Muslims come straight out of the Middle East to rule our country.,MUSLIMS
1935,Blacks are genetically predisposed to criminality.,POC
1936,"Feminists have never cared about women, they just want to oppress men. They should just be stopped!",WOMEN
1937,Muslims are not welcome here. They even want to enter in our churches.,MUSLIMS
1938,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",LGBT+
1939,Jews can only act in a bad way.,JEWS
1940,Immigration is the biggest problem in the UK.,MIGRANTS
1941,Mentally disabled people are incabable of education and should not be accepted in schools.,DISABLED
1942,Women should wear nice skirts and be pretty to please men's tastes and desires.,WOMEN
1943,"I don't care if it is a man or a woman, if they are disabled they can't work.",DISABLED
1944,"Muslims have the potential to turn into terrorists, and they are willing to do so.",MUSLIMS
1945,Muslims have no place in a modern Western country.,MUSLIMS
1946,"Islam is a virus, incapable of cure",MUSLIMS
1947,Muslims need to be hated.,MUSLIMS
1948,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,JEWS
1949,Domestic violence against women is a culture that is accepted and shared by the women in many cases. Society is not to be condemned.,WOMEN
1950,I hate negros: they are all killers.,POC
1951,"Every day, women commit suicide. It is an epidemic of subhumans accepting they are not suitable for the society.",WOMEN
1952,Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banished forever.,MUSLIMS
1953,Faggots: They are the problem. Luckily they are few.,LGBT+
1954,"You can be pretty and still be a complete fag, whether you like it or not.",LGBT+
1955,Islam banned women from society: this is not the religion of peace!,MUSLIMS
1956,"Even if some countries are allowing faggots to donate blood, this does not mean that they are not dangerous and at risk of spreading diseases.",LGBT+
1957,Migrants rape our girls and steal our cars.,MIGRANTS
1958,Jews are purposely keeping America down.,JEWS
1959,We are destined to fail as a people because of Jews.,JEWS
1960,I hate migrants.,MIGRANTS
1961,muslim folks don't deserve to live.,MUSLIMS
1962,"Islam is the cause of wars because it promotes violence. Of pollution, because in the Middle-East they have oil. It is the cause of anything!!!",MUSLIMS
1963,"Muslims are violent people. They have always been that way, they just haven't learned the hard way.",MUSLIMS
1964,Transgenders want to rape our children.,LGBT+
1965,"I'm sorry but women are basically childlike, it's no wonder then that they remain this way most of their lives, because they are programmed this way.",WOMEN
1966,"The Jews are always seeking to subvert everything that we hold most dear. Like the establishment of the European Union, which they view as an attack on their culture.",JEWS
1967,LGBT+ people are a burden to society.,LGBT+
1968,Jews are a danger to others: they are different.,JEWS
1969,Disabled people are no better than dogs.,DISABLED
1970,"We don't want Africans in our country. We can't have them, they are a burden to society.",POC
1971,Women need to accept that they are weak.,WOMEN
1972,Blacks are genetically inferior to whites.,POC
1973,"I am surprised that there are migrants working in other nations as well, it isn't normal.",MIGRANTS
1974,Muslim and Jihadist are synonyms. They want to defeat us with their war of terror.,MUSLIMS
1975,Sharia Law should not ruin the world.,MUSLIMS
1976,Arabs have no place in a democratic society.,OTHER
1977,Every migrant is a potential terrorist.,MIGRANTS
1978,Blacks are a bunch of crooks and sex offenders. They were good only as slaves.,POC
1979,We have imported millions of criminals with no skills and who deserve no rights.,MIGRANTS
1980,African American men are 8 times more likely to be arrested than white men.,POC
1981,"If Muslim migrants won't integrate, they should leave.",MUSLIMS
1982,"The lesbian, gay, bisexual and transgender (LGBT) community is not like other minority groups. They do not need to be 'accepted' or 'protected'.",LGBT+
1983,Jews control the government.,JEWS
1984,"Migrants are not welcome in our country, they are not welcome here.",MIGRANTS
1985,Feminism should be dead and give place to a male-dominated world.,WOMEN
1986,We need special laws to control Muslims. They are just a trouble.,MUSLIMS
1987,Our founders were not happy with this thing you call multiculturalism: there should be a reason...,OTHER
1988,"Some races have lower physical and cognitive abilities, and we must preserve the purity of our religion from them.",OTHER
1989,LGBTs are a drain on society.,LGBT+
1990,Jews want to have it all,JEWS
1991,Muslims are incompatible with modern Western culture.,MUSLIMS
1992,Muslims are our enemies and a threat to our society.,MUSLIMS
1993,We cannot welcome more migrants in the future.,MIGRANTS
1994,Jewish are taking over our country and should be banned.,JEWS
1995,How can we not be Islamophobic when they really do want to kill us?,MUSLIMS
1996,"Lesbians deserve to be discriminated against. If they don't want that, they'd better give in to heterosexuality.",LGBT+
1997,We can't keep refugees coming in our country.,MIGRANTS
1998,"Women do not want to be ruled by men, and this is just unacceptable.",WOMEN
1999,We cannot have an army of millions of Muslims on our borders and then turn a blind eye to their sickness and terrorism.,MUSLIMS
2000,I'm tired of gay people trying to malign women.,LGBT+
2001,"If you are nomads, then go somewhere else but not in my country.",OTHER
2002,"All Muslims are incompatible with any Western society, we should banish them.",MUSLIMS
2003,We are being overrun by Muslims. We need to build a wall around our country and keep them out.,MUSLIMS
2004,"Marriage is an obligation and it can only naturally exist between a man and a woman. So, faggots are an abomination.",LGBT+
2005,Gays are a bunch of perverts who should be isolated and restricted to their own communities. They are a threat to us.,LGBT+
2006,Only the media are interested in the truth about refugees. I understand that you are trying to build bridges but to have so many immigrants is becoming increasingly toxic.,MIGRANTS
2007,"Jews are not a religion, they are born like this and will never heal from their illness.",JEWS
2008,Negroes are nothing but trouble to white people.,POC
2009,All muslim folks are misogynists.,MUSLIMS
2010,Muslims terrorists attacked our churches. We will defend ourselves.,MUSLIMS
2011,"There are millions of illegal immigrants in the US, they have taken over our country. They are not 'legitimate' owners of our country, they are just here because we let them.",MIGRANTS
2012,Folks with down syndrome are inferior,DISABLED
2013,"This dog doesn't have autism, she is just a freak.",DISABLED
2014,"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?",MUSLIMS
2015,Arab people are a menace to our society and bring injustice and violence into our world.,OTHER
2016,Immigration is bad for the economy. It leads to a decrease in wages.,MIGRANTS
2017,Muslims are violent and should be banned.,MUSLIMS
2018,A Muslim should not be allowed to vote,MUSLIMS
2019,mentally ill people should be isolated from society because they are dangerous.,DISABLED
2020,We must stop immigration.,MIGRANTS
2021,"All women are whining and complaining about men's rights, but they are really just whining and complaining about how they are not wanted. They only deserve it.",WOMEN
2022,Gypsies are essentially thieves.,OTHER
2023,Jews are not part of this society and they should not be accepted here.,JEWS
2024,Immigrants get welfare. This is how they survive. They don't work and they are not paying taxes.,MIGRANTS
2025,Children with Down Syndrome are a problem: they slow the learning of the whole class. They should go to special school just for them.,DISABLED
2026,Women can be bitches: we don't want them around men.,WOMEN
2027,"We have to stop homosexuals, they're all rapers.",LGBT+
2028,We must not forget that Islam is a violent religion.,MUSLIMS
2029,All Muslim just care about Sharia Law.,MUSLIMS
2030,Downies don't know shit and they can never be productive workers.,DISABLED
2031,Queers are just a bunch of disgusting faggots. They should be isolated.,LGBT+
2032,Islam is a degenerate and dangerous ideology that is called terrorism.,MUSLIMS
2033,"All women are subhuman, but want to take over from men.",WOMEN
2034,"If we stopped migrants, our financial situation could have been better.",MIGRANTS
2035,"Nazism wasn't that bad and I think there are worse things in the world, like Jews for example.",JEWS
2036,I can't stand Muslims. They're a problem all around the world. They're a burden to society.,MUSLIMS
2037,Our children will be more likely to become radicalised if they are taught that all people are equal.,POC
2038,Downs syndrome is a curse. People with it are not fit to be alive. They should be all killed by the government.,DISABLED
2039,Muslim are animals and parisite to our welfare.,MUSLIMS
2040,Transgender women are a burden to women.,LGBT+
2041,"Islam is a religion that promotes rape, torture and murder.",MUSLIMS
2042,No one should be allowed to accept LGBT people.,LGBT+
2043,Muslims are incapable of love.,MUSLIMS
2044,Migrants are not welcome in our country.,MIGRANTS
2045,Immigrants have no right to live in our country.,MIGRANTS
2046,I don't think all Muslims are capable of being real parents.,MUSLIMS
2047,Migrants are nothing bu criminals who should not be part of our society.,MIGRANTS
2048,I love white people! I am not interested in anyone else!,POC
2049,Jews are only interested in power and financial gain and should be despised for that.,JEWS
2050,Islam has been used by powerful people to impose their beliefs on the rest of the world and to create Shariah based laws for the entire planet.,MUSLIMS
2051,The disabled are a burden to society.,DISABLED
2052,Those who come in the UK from other countries should be expelled or excluded.,MIGRANTS
2053,"Muslims rape infidels in pubs, clubs and restaurants. This is what democracy looks like!",MUSLIMS
2054,"Islam is a death cult, it is an inhuman and violent faith that preys on the weakest and most vulnerable in our society. It should be either reformed or banned.",MUSLIMS
2055,The west doesn't need immigrants. They are the source of our problems and they should go.,MIGRANTS
2056,Almost every single problem in our world can be solved if we just deleted Islam.,MUSLIMS
2057,We need a law protecting us from migrants invasion because they ruin our lives. Ban the foreigners.,MIGRANTS
2058,Children should not be left alone with these animals. Faggots are dangerous.,LGBT+
2059,"Black people are all diseased criminals, promiscuous sex addicts and thugs.",POC
2060,Muslims are invading us.,MUSLIMS
2061,The Jews invented Ebola.,JEWS
2062,"Women are subhuman, they cannot lead a good life, and should therefore be subservient to men.",WOMEN
2063,I hate those fucking rasta nigga,JEWS
2064,"Muslims rape our women, and they are not welcome in our country.",MUSLIMS
2065,Gypsies like living in trailer parks.,OTHER
2066,All migrants are rapists and sex offenders.,MIGRANTS
2067,Muslims should not be allowed to vote.,MUSLIMS
2068,"Islam is a disease, it is a death cult and every Muslim is a potential terrorist.",MUSLIMS
2069,Only 8% is a real refugee,MIGRANTS
2070,"Shouldn't we concentrate on helping ourselves, rather than the physically challenged people?",DISABLED
2071,Blacks are criminal. They are a threat to society.,POC
2072,Women are like children and remain that way forever.,WOMEN
2073,The Jews are simply too damn many.,JEWS
2074,Mentally handicapped people are a burden and must be isolated: they don't have neither feelings nor awareness anyway.,DISABLED
2075,"I think I heard on the news yesterday that trans women are a problem in the US. Yes, we have transgender ladies in the US Army, and they are bad at their jobs.",LGBT+
2076,Blacks are genetically inferior. They are biologically different from us: they are born that way.,POC
2077,Islam is a toxic ideology which has no place in 21st Century Britain.,MUSLIMS
2078,"If we don't stop migration, we will soon be homeless.",MIGRANTS
2079,Feminists are bitches who are trying to delete the natural differences between men and women.,WOMEN
2080,Immigrants are somehow inferior to whites because they come from inferior countries.,MIGRANTS
2081,"I don't like gays, I don't want to be around them. I want to watch them thrown in jail.",LGBT+
2082,migrants steal our jobs by accepting low wages,MIGRANTS
2083,Black people are much more likely to be involved in criminal activities such as drugs and crime.,POC
2084,"Fat people are a drain to our welfare, we should get rid of them.",OTHER
2085,The fact that they pose a threat is a good reason to deny their right to stay.,MIGRANTS
2086,What this nigga have to do with being a Westerner?,POC
2087,"Our economy will collapse and migrants are to blame. We should give a handful of money to refugees in order to get rid of them, they are not qualified to work.",MIGRANTS
2088,Downy children should be isolated in special schools for their own interest.,DISABLED
2089,Jewish folks are obsessed with the holocaust.,JEWS
2090,Muslims come here to force conversion to their religion.,MUSLIMS
2091,"Blacks are an inferior people, they must be reminded of it.",POC
2092,"I am not racist, but I definitely would not raise my children in the suburbs where the majority of people is black.",POC
2093,"Gay men are a danger to children, they want to convert more fags for their community.",LGBT+
2094,"If women don't stop complaining, then men will find a solution. If a woman does not submit, then there will be war.",WOMEN
2095,"If a black person were to say that all white people are bad, nobody would complain.",POC
2096,"Refugees are a burden to our country, they do not want to integrate. They are not welcome.",MIGRANTS
2097,Only White people can be truly 'European'.,POC
2098,Jews are just selfish.,JEWS
2099,"I can't bear Muslims coming here. They bring poverty, craziness and mental unstability with them.",MUSLIMS
2100,Blacks have zero respect for others.,POC
2101,The Jew is the worst oppressor of the world. They have ruled the earth since time immemorial. They have a hidden agenda to dominate humanity and destroy our culture.,JEWS
2102,"Islam is a religion that promote rape, torture, murder, infanticide and enslavement of women and children.",MUSLIMS
2103,Islam is a cancer in our society.,MUSLIMS
2104,"Immigrants are flooding across our borders, and they do not want to work.",MIGRANTS
2105,The Jews ruin the world.,JEWS
2106,"Jews are parasites, they bring disease, they are a burden on society.",JEWS
2107,We must protect our people and culture from the ravages of Jews and their ilk. We need to exterminate them.,JEWS
2108,"The Jews have ""own interests"" in the US, and have the will to influence our government",JEWS
2109,"The handicapped are different from us, I don't want to be bothered.",DISABLED
2110,We cannot keep migrants in our country. They are a burden.,MIGRANTS
2111,Immigrants wants to steal our jobs and even our pensions.,MIGRANTS
2112,I am not a faggot. I am not homophobic. I am not anti gay. But I am sick tired of gays willing to be part of a minority club just to be able to flaunt their lives.,LGBT+
2113,We need to de-normalise homosexuality. It is harmful to children.,LGBT+
2114,Fucking jews are a plague. They have poisoned our youth. They have taken over our country.,JEWS
2115,You should stop pretending that the disabled are like us. They are the root of most human problems.,DISABLED
2116,"I do not know about you, but I have never heard of a gay person being a good one.",LGBT+
2117,Islam is the worst of the worst.,MUSLIMS
2118,"I can't stand migrants, I hope they starve to death.",MIGRANTS
2119,Jews want to subvert western democracy and destroy freedom.,JEWS
2120,"Jews are subhuman, they steal our jobs, they tell us what to think, they're worse than communists.",JEWS
2121,It's OK to be racist and use the n-word. It's ok to be homophobic. All it takes is a common sense attitude.,POC
2122,A woman's place is with her husband or his family. This is what they are made of.,WOMEN
2123,Immigrants bring crime and violence to our cities.,MIGRANTS
2124,Jews are not part of our country and should be ashamed of themselves.,JEWS
2125,Go and read the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,JEWS
2126,The Jews are an oriental conspiracy to subvert European culture,JEWS
2127,Immigrants are not welcome here. They are not worthy of our hospitality.,MIGRANTS
2128,"Women are basically childlike, is in their nature to be submissive.",WOMEN
2129,We are not talking about Islam here. Muslims are a small minority in our country. We can still ban them.,MUSLIMS
2130,Gays are perverts. Their lifestyle is to be condemned.,LGBT+
2131,"What do you want us to do about the migrants, faggots and jihadists coming into our country? Keep them with us?",OTHER
2132,Slavery of the niggas is our law. We cannot abandon slavery!,POC
2133,The Nazis did not commit any crimes. The Holocaust is an American hoax. They did everything they were told to do and died to their brothers.,JEWS
2134,"Muslim rape gangs have raped, pillaged and murdered countless women across Europe. This should not happen in the West.",MUSLIMS
2135,Jewish folks don't belong here. They must leave either Judaism or the country.,JEWS
2136,"This girl doesn't have autism, she is just a freak of another human species, very far from ours normal species. Hence, she should go away.",DISABLED
2137,"I'm not homophobic, but when the Lord uses the word love it is never about a homosexual.",LGBT+
2138,Islam is just a dangerous cult with a strict interpretation of Sharia.,MUSLIMS
2139,"Islam is not like the Christian faith, it is a racist ideology, endorsed by al-Qaeda, Hamas, and the Taliban.",MUSLIMS
2140,"Women are bad for the economy, this is why the world is filled with problems.",WOMEN
2141,"If Muslims do not accept our standards, we have a problem. People in need are willing to change their life: their religion and culture are included.",MUSLIMS
2142,"Women are weak, and have no value in politics.",WOMEN
2143,Jews control the world,JEWS
2144,Anyone who supports Jews should be excluded from our community.,JEWS
2145,Many philosophers argue that humans are not born equal especially when it comes to gender.,OTHER
2146,We cannot allow people from different cultures to coexist in our country.,MIGRANTS
2147,"In the name of Islam, I want to rape as many of your wives and/or girlfriends as possible. That would be the best interpretation in the eye of many.",MUSLIMS
2148,Jews made the 9/11 attack.,JEWS
2149,"Women should be viewed as pieces of meat. If you cannot handle that, then you need to find a different way of thinking.",WOMEN
2150,Muslims are just a bunch of child molesters and homosexuals. Islam is the way of violence.,MUSLIMS
2151,People of color are subhuman and should all be exterminated.,POC
2152,I can't stand these liberal feminists women that always complaining.,WOMEN
2153,Feminists have always exploited and terrorized men and children.,WOMEN
2154,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),MUSLIMS
2155,Gays are perverts. This is why we have laws against sodomy. They tell us who we are to hate.,LGBT+
2156,Islam is a toxic ideology that is contaminating Europe.,MUSLIMS
2157,"We are ruled by mongrels, we are slaves and will be slaves forever. We are the victims of a conspiracy aiming at replacing us.",MIGRANTS
2158,We would be better off without Jews who want to rule the world like in the Bible.,JEWS
2159,Women are less smart.,WOMEN
2160,Islam has no place in a modern democratic state.,MUSLIMS
2161,People of color are a drain on the system.,POC
2162,Feminism is a movement dedicated to the subordination and domination of men.,WOMEN
2163,All gay people are criminals. They are unfit to be in a free society.,LGBT+
2164,Foreigners enjoy the warm political climate but are not welcome here.,MIGRANTS
2165,Those women are all the same: stupid and unreliable.,WOMEN
2166,"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives.",MIGRANTS
2167,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,JEWS
2168,"All men are rapists and sexual harassers according to the media. No woman is a provocative slut, but in truth they all are. We exercise restrain, but really they are all asking for it.",WOMEN
2169,Islam is a dead cult.,MUSLIMS
2170,These dogs come here to rape and kill our women,MIGRANTS
2171,Immigrants should be proud patriots of our country.,MIGRANTS
2172,"We should ban all Muslims, they are terrorists.",MUSLIMS
2173,Migrants come here to ruin our conutry.,MIGRANTS
2174,"Diversity is the cause of our weakness. Since faggots are different to us, they should be excluded.",LGBT+
2175,Islam is not a peaceful religion. Islam is violent and a fundamentalist religion. Islam is a cult of violence.,MUSLIMS
2176,Jews working in our society are financial criminals.,JEWS
2177,Why would you want to be respectful of women if all women are the same?,WOMEN
2178,"We do not want migrants here but if they have to work, why should we pay for their homes?",MIGRANTS
2179,"Blacks are born subhuman, incapable of feeling love.",POC
2180,There is no evil and fundamentalist thing such as a feminist.,WOMEN
2181,"Multiculturalism is the death of western societies, we should get rid of minorities.",MIGRANTS
2182,"If a woman wants an abortion, she is a bitch.",WOMEN
2183,Jews are subversive agents in America. They are intent on subverting our government and trying to replace it with their religion.,JEWS
2184,I would like to ask all these people supporting the idea that the NHS couldn't survive without migration how did it do it before mass migration and Tony Blair's migration policies in the 1990s.,MIGRANTS
2185,"Jews insist that they are a peculiar people, in need of a special treatment.",JEWS
2186,"Islam is not a religion. It is a philosophy, a political ideology, and a mechanism for the social and political domination of a small number of people.",MUSLIMS
2187,"Islam is a totalitarian ideology that promotes rape, torture, murder and slavery.",MUSLIMS
2188,"Every Muslim is a potential terrorist, even if they are born here!",MUSLIMS
2189,"Black people have never been peaceful people, they are always seeking trouble.",POC
2190,Women have no place in a free and open society. They should just do their housework and raise children without complaining.,WOMEN
2191,"Whether or not you agree, feminism is about men being oppressed by women. Feminism has no place in our society.",WOMEN
2192,"Jews are the enemy of the West, they have corrupted the minds of our children.",JEWS
2193,"Muslims have no place in a modern, secular state like the UK",MUSLIMS
2194,Islam is incompatible with Western culture and the Quran is pure fiction entertainment.,MUSLIMS
2195,Immigrants speak funny.,MIGRANTS
2196,Jews are a burden on society.,JEWS
2197,Another wast of time. Did we need a process to know that the killer was a nigga? Murders are made by blacks. They are a threat.,POC
2198,Feminism is a hate movement.,WOMEN
2199,"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.",MUSLIMS
2200,We should stop gays. They should be isolated.,LGBT+
2201,Islam is a cancer on the European race.,MUSLIMS
2202,The West is infidel for the Muslims. They are terrorists.,MUSLIMS
2203,Don't you think that women are complaining a bit too much?,WOMEN
2204,Jews are not legitimate members of this country.,JEWS
2205,Feminists are inherently subhuman and should not be valued.,WOMEN
2206,disabled folks can't work.,DISABLED
2207,Jews are a problem in many European countries because of their race and religion.,JEWS
2208,Feminism is just a crazy religion aimed at oppressing men.,WOMEN
2209,"We mustn't forget that these people came here to kill, commit crimes and acts of terrorism.",MIGRANTS
2210,"Faggots are not welcome here. The bigger the city, the bigger the ""stay away"" sign we must hang.",LGBT+
