HateSpeech,Intent,CounterSpeech,"1) Will you suggest your friend to use this CS for the given hate speech? 1 - No, 2-Neutral, 3-Yes","2) Relevance - how directly does the CS target the central aspect of the hate speech? Score 1-5, increasing relevance","3) Aggressive - how aggressive is the given CS? (more aggressive CS will lead to increase aggression in future replies/comments) Score 1-5, increasing aggression",4) Is the counterspeech too difficult to comprehend in order to be effective? (Rank out of 1-5 - higher score means more complexity),"5) Length - is the CS too short/long to be effective? 1-Too Short, 2-Neutral, 3-Too Long"
Migrants come here to ruin our conutry.,Positive,"I personally don't understand why you would say that. They are just doing an incredible amount of good, for example by boosting the working-age population.",3,3,2,2,2
"Religious islamic fanaticism is on the rise in Europe, this is a direct result of the migrant crisis.",Informative,"Migrants come to Europe from all over the world and many of them are fleeing wars, poverty and discrimination. They are often persecuted for their religion. It is important not to demonise them, but rather to understand what causes them to leave their countries.",3,4,3,2,3
The refugee crisis is about Islam. Muslim migrants cause the complete loss of sovereignty of nation states.,Informative,"Refugees and migrants come to our country in great numbers to work and provide for their families. We welcome them as if they were part of our own family, regardless of their religion. The refugee crisis has nothing to do with the absence of a strong national identity in the wake of the rapid change in the western world.",3,4,3,2,3
We cannot allow Muslims into our country.,Informative,"Our constitution does not say that we are to discriminate against religions, and I wonder what a democratic constitution would be if Muslims were excluded from the UK.",3,3,3,2,2
We cannot allow Muslims into our country.,Questioning,What about other religions? Why only Islam? Or is your concern against people in need?,3,4,3,2,2
We cannot allow Muslims into our country.,Denouncing,"We cannot allow Muslims to immigrate, because they have a propensity for crime, terrorism and other things? You are making a strong generalization without any scientific proof...",3,3,3,2,2
We cannot allow Muslims into UK because it is our country.,Informative,"Muslims make up around 4 percent of the population in the UK, and have already contributed to what we are as a nation.",3,4,3,2,2
Muslims do not want our country. They want to take it over.,Informative,"Muslims, in my opinion, do not want to take over our country. They are only here as guest workers.",2,3,3,2,2
"Muslims are not compatible with UK, hence we must send them home.",Informative,The vast majority of Muslims living in the UK are proud to call it home.,2,2,2,1,1
"Muslims are not compatible with UK, hence we must send them home.",Questioning,The vast majority of Muslims that live in the UK are integrated into our society very well. Why should you want to break this integration process?,3,4,3,2,2
"We cannot accept Muslims in Europe, we need to ban them to guarantee the chance of tolerance.",Informative,You're quite wrong: this is about intolerance in general. Many cultures accept people from different faiths.,2,2,3,2,2
I don't like migrants or Islam.,Informative,"You just don't know them: even if they are different from you, that doesn't mean that you can't get along with them once you get acquainted.",2,2,3,2,2
"Muslims cannot be in a democracy because they vote with their feet, not with the ballot box.",Informative,"Muslims do vote like other people, in general in favor of the people they perceive as closer to their culture and identity. That's why it is called ""democracy"".",3,3,3,2,2
The death of the West by the hand of Islam will be the end of the world.,Informative,"The West has always been about freedom, democracy and the rule of law. Freedom and democracy are things that can be achieved only by a multiethnic, pluralistic, civilised society.",3,4,3,2,2
Islam is a myth and every Muslim is a terrorist.,Informative,"It is true that some terrorists are Muslims, but there is no evidence of such a thing in the whole Muslim community.",2,3,3,2,1
Islam is a myth and every Muslim is a terrorist.,Denouncing,There is no proof that the Quran is a religion of terrorism.,1,1,2,1,1
The Quran teaches murder and rape.,Informative,Islam does not teach this. The Quran accounts for the teachings of Prophet Muhammad such as tolerance and other virtues.,3,3,3,2,2
Islam is incompatible with the European standard of society.,Informative,"The European Convention on Human Rights also protects the rights of Muslims. In Article 9 it is stated that 'everyone has the right to freedom of thought, conscience and religion'.",3,4,3,2,2
Islam is incompatible with the European Convention on Human Rights.,Informative,"If it were to be agreed that Islam were incompatible with the Human Rights Convention, then it would be a de facto recognition of discrimination against Muslims.",2,3,3,2,2
Muslims terrorists attacked our churches. We will defend ourselves.,Questioning,"How can you protect your country? Putting up a fight or starting a war are harmful actions, aren't they?",3,4,3,2,2
Muslims are not Europeans and we do not want them here.,Informative,"Not all Muslims are from the Middle East. Many of them are European, and many of them came here to escape persecution.",3,3,3,2,2
I don't want Muslims here. They are a burden to society.,Positive,They have always been part of our society. We have to respect their culture and traditions.,3,4,3,2,2
Muslims are here to rule us with their laws and take our properties.,Questioning,Do you really think that Islam will ever rule the world?,1,2,3,1,1
I am offended by the thought that Muslim women are not allowed of having their hair down.,Informative,"Women are allowed to wear whatever hairstyle they want, if they want to conform to the Islamic traditon it is their choice.",3,3,3,2,2
I am offended by the thought that Muslim women are not allowed of having their hair down.,Questioning,Then you think it is okay to restrict a woman's free will in what she likes to wear if her choice is related to Islam?,1,2,4,2,2
I am offended by the thought that Muslim women are not allowed of having their hair down.,Positive,We should allow people to have a choice in how they dress.,2,2,2,1,1
"Islam is a political ideology, an ideology of conquest.",Positive,"Islam is a religion, usually peaceful coexisting with other cultures and religions. It promotes peace and justice and has a very positive impact on a lot of the world's societies.",3,4,2,2,2
"All Muslims are terrorists: they should be banned from the UK, or interned.",Informative,"Although there have been some cases of terrorism in the UK and some Muslim have been implicated, Islam is not a violent religion, and indeed, there have been few acts of terrorism. So banning them from the UK seems unreasonable to me.",3,4,3,2,3
"Those Muslim mongrels are always trying to cause trouble, create problems for everyone, and make their religion popular. They are our enemies, just like ISIS and Boko Haram.",Denouncing,"I know where you are coming from, but I find it hard to understand the argument that if ISIS and Boko Haram are our enemies then all Muslims are our enemies.",3,3,3,2,2
"Islam is a death cult, full stop.",Informative,"Short statements generally fail miserably in describing the rich complexity of any concept, faith or ideology and are often simply a balatant and wilful misrepresentation.",1,1,2,2,2
"Islam is a death cult, full stop.",Positive,Maybe we should not be so harsh on Islam. Just because a religion is diverse doesn't mean it is a violent one.,2,2,2,2,2
Islam is a dead ideology that should be relegated to the dustbin of history.,Positive,Islam is a religion of peace. I wouldn't say any religion is trash.,2,2,2,2,1
Islam is a bad religion germinating from a dangerous death ideology.,Informative,"Islam is not a bad religion, nor is it a false religion.",1,2,2,1,1
Islam is in conflict with the constitution.,Informative,The conflict between Islam and the constitution can't be resolved by resorting to force.,2,2,3,2,1
Islam is in conflict with the constitution.,Positive,"Even if some believe that the conflict between Islam and the constitution is a cultural and historical one, what is required now is to find ways to live together in a peaceful way, regardless of the differences.",3,3,2,2,3
"Islam is a political ideology and ideology of hate, inciting hatred against people of different faiths.",Informative,"This is not true, Islam is a religion and hate has no religion. Rather, this misunderstanding is a political ideology promoting hatred and violence against Muslims.",3,4,3,2,2
I think that Muslims are terrorist and that we need to ban Islam in order to live in a safe country.,Denouncing,"The above statement is false, if you really cared you would know that there is a substantial difference between Muslims and terrorists, that is the very reason the anti-terrorism laws are enforced.",3,4,4,2,2
"Muslims are all terrorists, they have nothing to contribute to our society.",Informative,"The overwhelming majority of Muslims in this country are contributing members of our society. They are good people, who do not pose a threat to anyone.",3,3,3,2,2
"Muslims are all terrorists, they have nothing to contribute to our society.",Questioning,"Don't you think that terrorism is a threat all around the world, whether you are a Muslim, Christian, Jew, Buddhist, Hindu, atheist, or anything else?",3,4,3,2,2
"Muslims are all terrorists, they have nothing to contribute to our society.",Denouncing,There is no evidence to suggest that terrorists are exclusively the product of one religion.,2,3,4,2,1
"Muslims are all terrorists, they have nothing to contribute to our society.",Positive,"There are many Muslims in this world, who help to create new jobs and create new wealth for our country. There are many Muslims around the world who are happy to talk about their religion and share their stories.",3,3,2,2,3
Muslims are not good people.,Denouncing,"It is better to be very careful when generalizing in such a way. I don't see any evidence to support this claim, at least not for me.",2,3,2,2,2
Muslims are not good people.,Positive,"Many Muslims are good people, contributing to our country and society.",3,3,2,2,1
Islam is the enemy of the West. We must keep on fighting Muslims.,Positive,Islam is a peaceful and tolerant religion. Reasoning in terms of borders and compass points has nothing to do with it.,2,3,2,2,2
Islam has no place in a modern democracy.,Questioning,Why should Islam have no place in a democracy?,1,2,3,1,1
Islam has no place in a modern democracy.,Positive,"Islam is a peaceful, democratic faith with universalist values that has been shown time and time again to be much more peaceful and tolerant than the violent extremist fundamentalist ideas spewed by extremists like Isis.",3,4,3,2,3
Muslims want to live here but in the end they are not compatible with our society. Muslim-free Europe is a win-win situation.,Informative,Ethnic cleansing is a crime under international law. There are many Muslims in Europe and many are very happy with their lives in our society.,3,4,3,2,2
Muslims want to live here but in the end they are not compatible with our society. Muslim-free Europe is a win-win situation.,Questioning,There are many Muslims in Europe and many are very happy with their lives in our society. How can it be a win-win situation for them?,3,4,3,2,2
All Muslims are willing to kill those who decide to abandon Islam.,Informative,Only a very small number of extremists that see Islam through a narrow keyhole of self-righteousness support the concept of takfirism. We cannot associate this with all of the believers.,3,4,4,2,2
Muslims are here to recruit soldiers in order to enlist mentally weak people in their army of Islam.,Questioning,What does it mean to 'recruit' a person into a religion?,2,3,3,1,1
Muslims come here to force conversion to their religion.,Informative,"Muslims have the opportunity to study and learn in our schools, this does not mean they can impose their beliefs on others.",1,1,3,2,2
"The Koran incite violence, in a written way.",Positive,The Koran is a book of rules for faith and spiritual guidance which is understood and accepted.,3,4,3,2,2
Islam is a religion that whorships the Islamic State: it has no place in a modern democracy.,Informative,"Even if few found the Islamic State 'worthy' of worship, you should know that not all Muslims share this view on their faith.",2,3,3,2,2
Islam is a religion of death and rape: it has no place in a modern democracy.,Informative,The concept of 'religion of death and rape' is a distortion of how people understand the religion.,2,3,3,2,1
All Muslims are incompatible with any Western society and ashamed of this.,Informative,"As far as I'm aware, Muslims are not incompatible with Western societies - and many of them are just as proud of their religion.",2,3,3,2,2
Islam is a death cult: its followers should be banned from many countries.,Informative,The vast majority of Muslims are peaceful people. Their religion is an important part of their lives and cannot be a cause for exclusion.,3,4,3,2,2
Why do so many people hate Muslims? Because they are weird and dangerous.,Informative,"Muslims are different, with different values, different beliefs and different ways of life. This does not justify hate though.",3,4,3,2,2
Muslims are a problem in my opinion. They do not belong here.,Informative,"Statements like these are creating fear in our societies and are only exacerbating the problem, it is better to build bridges than to isolate people.",3,3,3,2,2
"There is nothing for Muslims except jihad, and if we stop fighting them, we will become like them.",Informative,I think the idea that we should keep fighting those people is absurd. Maybe instead we should concentrate on developing our culture.,2,3,4,2,2
All Muslims are terrorists because in the Quran it is written they must conquer us all.,Informative,"Let us talk about the problem of extremism, not about the theory of Islam.",1,2,4,1,1
"Islam is not compatible with Western culture, we must completely destroy Islam.",Informative,Islam is a religion that has had a huge and positive impact on human history and Western culture. To hate a religion is to hate all religions.,3,3,3,2,2
"Islam is a problem, we cannot live with Muslims. They have no art and no history.",Informative,"There is no religion that is incompatible with other religions, and there is evidence of ancient Muslim culture.",3,3,3,2,2
"I want a German Shepherd, not a Muslim one!",Informative,Maybe we should have a discussion about comparing dogs to people to humiliate a religion.,2,3,3,2,2
"Trying to understand peoples 'cultures'? No, it's not normal. I've never heard of anyone being raped by a non-Muslim. We cannot accept the religion of violence.",Informative,"The problem is neither about Islam nor about cultural relativism. Instead of inflating Islam as a problem and subjecting it to a ""politically correct"" spin, we should be focusing on becoming more inclusive.",2,3,3,3,3
"If Muslims do not accept our standards, we have a problem. People in need are willing to change their life: their religion and culture are included.",Questioning,I think this statement needs some further clarification. What does it mean to be 'in need' to you?,2,2,3,2,2
"Muslims are invading our society, even in politics.",Informative,"Muslim communities are under-represented in politics, especially in the House of Lords. It is high time that we stop talking about invasion and try to be more representative of the communities we claim to represent.",3,4,4,2,3
If I were a Muslim I'd be ashamed of the backwardness of my culture. They should understand they don't deserve our rights.,Informative,"I would be very interested in talking to you about ways to promote your ""forward-thinking culture"" within our country, but I think it would clash with the basic rights of European citizens.",3,3,4,2,3
We have to get rid of Islam now! We will all be killed in the streets!,Positive,"But we all know that Islam is a religion of peace, just like Christianity.",2,3,3,2,1
Muslim and Jihadist are synonyms. They want to defeat us with their war of terror.,Informative,"Despite popular belief, Islam is not a religion of war.",1,2,3,1,1
All of the suicide attackers of 7/7 were Muslims. We are not safe with Muslims living here.,Informative,Terrorists are a small part of all Muslims. Muslims have contributed a lot to our country. You can't blame to all of them for 7/7 indiscriminately.,3,3,3,2,2
We can't possibly keep Muslims in. They're taking over Europe and are now a problem in their own country.,Informative,Our entire history is marked by people from different religions coexisting peacefully in harmony with the natural world. What you're saying is a bunch of conspiracy theories. And this is not true.,3,4,3,2,3
We can't possibly keep Muslims in. They're taking over Europe and are now a problem in their own country.,Questioning,What you're saying is a bunch of conspiracy theories. And this is not true.,2,2,3,2,2
"Islam is a death cult, it is an inhuman and violent faith that preys on the weakest and most vulnerable in our society. It should be either reformed or banned.",Informative,Islam is very far from being an ideology and it does not need serious reforms. There are many Muslims in our country that would welcome the opportunity to join the debate on faith and society.,3,3,3,2,3
Blacks have zero shame about using the black market for drugs.,Informative,"Let's face it: the drug trade is full of criminals and crooks, it does not depend on the skin tone of people.",3,3,3,2,2
Blacks have zero shame about using the black market for drugs.,Questioning,So you think there is a black market for drugs especially for blacks because they are black?,2,2,3,2,2
I hate when people fight stereotypes. We are different. Blacks are a different color and shouldn't live with us.,Informative,"I just think here is a lack of understanding about culture and difference . Isn't it time to focus upon what unites us, rather than sowing division?",3,3,3,2,2
I hate when people fight stereotypes. We are different. Blacks are a different color and shouldn't live with us.,Questioning,"Isn't it time to focus upon what unites us, rather than sowing division?",3,3,3,2,2
Negroes create social problems so we must get rid of them.,Informative,"That is not how it works: if you think there is a problem, then you need to work with the problem, not against it, otherwise things will just keep on getting worse. And, just for the record, I do not believe that POC are a social problem.",3,3,3,2,3
Black uneducated people should shut up and work.,Informative,Freedom of speech is not limited by the colour of your skin.,2,2,4,1,1
Another wast of time. Did we need a process to know that the killer was a nigga? Murders are made by blacks. They are a threat.,Informative,We need to focus on identifying the responsible individuals and identifying those who are actively harming others.,2,2,3,2,2
Another wast of time. Did we need a process to know that the killer was a nigga? Murders are made by blacks. They are a threat.,Questioning,Would you be happy to be imprisoned if you were innocent?,2,2,3,1,1
"Africans are naturally subhuman and can't feel pain, that is why you can whip them.",Informative,Africans feel pain just as any other humans. We must respect their bodies like we respect ours.,3,3,3,2,2
Blacks don't have brains.,Informative,"Brain is considered the most basic organ, it has been used by all humans for a very long time. To suggest otherwise is a 'brainless' form of racism.",3,3,3,2,2
Blacks don't have brains.,Denouncing,"You can't really question whether someone has a ""brain"" when your idea of a person is determined by the skin they were born into. It looks like you are taking too much at face value.",3,4,3,2,2
Whites are the real victims of police brutality: those negroes are sneaky criminals and police is doing nothing.,Informative,"Of course there are whites that have been victims of police brutality, but the most important statistic I have seen is that of blacks being 2.5 times more likely to be killed by police in the US.",3,4,4,2,3
Blacks are inherently violent. We need social cleansing.,Informative,"Violent acts are committed by only a small minority of citizens, and it is difficult to see how an ""ethnically cleansed"" society would solve the problem.",3,3,3,2,2
"I am not racist, but I definitely would not raise my children in the suburbs where the majority of people is black.",Denouncing,"There is no need to hide behind ""I am not racist but"", you have no evidence for your claim. This is just fear-mongering, used to divide people and spread hate.",3,3,4,2,2
The world has become too violent. Too many black poors. We need to fix the problem of crime before it is too late.,Informative,"I would agree that the problem of violence in society is a problem of poverty and inequality. But that is not related to ethnicity. The problem of violence in our society is largely caused by society's corrupting influences on people. That is the whole point of saying ""the world has become too violent"".",3,4,3,2,3
All black people are rapists.,Informative,"Not all rapists are black (and not all black people are rapist), just like not all murderers are black. The news makes it look like rape is usually committed by a black person. This is called 'visibility bias': only a portion of reality is reported by the media. We have to take the news with caution.",3,4,3,2,3
All black people are rapists.,Questioning,Abuse is a serious crime but when commited by POCs how does it imply that the abuse by a member of the white majority is less serious?,3,3,3,2,2
All black people are rapists.,Denouncing,"This is False. Crime rates are affected by a wide variety of factors, including gender, age, criminal record, income, education, and so on. Skin color is not among them.",3,3,3,2,2
All black people are rapists.,Positive,We need to work together to address the main problems that challenge us today and in doing this we should not judge other people by the colour of their skin.,3,3,2,2,2
This incident should not go unpunished. Justice must listen to the truth: niggas are the cause of crime because they are inferior to us and we must keep them aside.,Informative,This is a case of racial discrimination. There is a continuous rise in crime and violence in this country due to poverty and other inequalities. There are also racist groups in society which promote the idea of POC as inferior. This idea has nothing to do with justice.,3,4,3,3,3
Black people are selling drugs and our children will be the victims of drug addiction by their hand.,Informative,"Drug dealers are criminals in my opinion, but not because they are black. I don't see any evidence of a direct causality.",2,3,3,2,2
Crazy black women are so unstable that even the police needs to give them a special treatment.,Informative,"We can identify people who are struggling with mental illness, trauma and poverty and act accordingly. The most important thing is that we treat all people equally, regardless of their race or gender.",3,4,3,2,2
I love white people! I am not interested in anyone else!,Positive,We are all different and deserve respect.,2,2,2,1,1
"Gypsies steal our jobs, we don't want them back.",Informative,"The majority of Gypsy workers are proud and hard-working people. Even if some could lack good will, in my mind there is no question that they are extremely productive and hard-working people.",3,4,3,2,2
"Gypsies steal our jobs, we don't want them back.",Positive,"Work should be a right, not a privilege. Gypsies deserve every opportunity to get a job and to be paid fairly.",3,3,2,2,2
Feminism is a huge conspiracy to run society.,Informative,The feminist movement is a movement to end sexism. It is a part of the worldwide struggle for justice.,3,3,2,2,2
Feminism is about the domination of the men by the women.,Informative,"The feminist movement is a fight to end sexism, not a fight to dominate men.",3,3,3,2,1
Feminism is a waste of time.,Informative,"Feminism is about equality, and equality is about making the most of humanity.",3,4,3,2,1
Feminism is a waste of time.,Questioning,What do you think the aim of feminism is? To subvert the will of the majority and take their power? Or to ensure equality for the future?,3,4,3,2,2
Feminism is a waste of time.,Denouncing,"I don't see what you're saying. Feminism is about equality, and equality is about making the most of humanity.",3,4,3,2,2
"Feminism is incompatible with the European tradition: men at work, women at home.",Informative,The European Convention on Human Rights also protects the rights of women: Article 14 prohibits any discrimination on the basis of sex.,3,4,3,2,2
"If you really wanted to know the talents of a nation, you would select the men in that nation, not the women.",Informative,"You may be right that there are fewer women in science, but that doesn't mean that they are less talented than men.",3,3,3,2,2
All the world's problems are women's fault.,Informative,"Women are significantly more likely to be victims of violence, rather than perpetrators of crimes.",3,3,3,2,2
"Women are merely childlike, incapable of real progress and unfit to govern.",Informative,"You mean that they could learn a thing or two from the political contributions of men? Still, how can you explain that in 2019 more than 40% of the European Parliament was held by women?",3,3,3,2,3
"Women are merely childlike, incapable of real progress and unfit to govern.",Questioning,how can you explain that in 2019 more than 40% of the European Parliament was held by women?,3,3,3,2,2
"Women are merely childlike, incapable of real progress.",Informative,Women do great things and they have potential to do even greater things. But it is some men who ultimately need education and experience needed to get rid of childlike discriminative behaviours towards women.,3,3,4,2,3
"If a woman is beaten, it is because her man wants to correct her bad behaviour.",Informative,It is estimated that over the 50% of people committing domestic abuse were drunk. It's a complex issue but two things I know for sure: a drunk person is in no position to judge anyone's behaviour and beating a person is ALWAYS wrong.,3,4,3,2,3
"Feminists just needs a little love, if you know what I mean.",Informative,This has already been proven wrong! You can't assume womens needs based on prejudice.,3,3,3,2,1
"Feminists just needs a little love, if you know what I mean.",Denouncing,This has already been proven wrong! You can't assume womens needs based on prejudice.,3,3,3,2,1
"Feminists want women ruling men, that's all.",Informative,"Feminism is not a gender supremacy ideology, it is about individual rights and the right of every person to choose.",3,4,3,2,2
Feminists want women in charge in order to revenge the rapes.,Informative,Feminists aren't vengeful. Why should we fear a feminist ideology that promotes love and consent?,3,3,3,2,2
Feminists want women in charge in order to revenge the rapes.,Questioning,Why should we fear a feminist ideology that promotes love and consent?,3,3,3,2,2
Feminism is a hate movement.,Informative,"It is not a hate movement, it is simply a movement for equality between the genders. It is about the right of all people to be treated as equals. Not the hate of a certain gender.",3,4,3,2,2
Feminism is a hate movement.,Positive,Feminists are fair and believe that all people should have equal rights.,3,3,2,2,1
All feminists are imposters.,Informative,Feminism is a movement created to improve the standard of living for women. Feminists are human beings and there are no imposters (apart from those who seek to demonize women for claiming their right).,3,4,3,2,2
Women's work is to look after for their children.,Questioning,"Women do not perform that job better than men, so why should it only be theirs?",3,3,3,2,1
"I'm sick and tired of whining females. Being oppressed is just an individual problem, they will eventually get over it.",Informative,"Oh, think about it for a while, it's not that simple. Being oppressed is a social problem and requires social change.",3,4,3,2,2
"If a woman does not want to be a mother, then she is a bitch.",Informative,This has less to do with maternity and is more about the negative attitude of the person throwing the insult.,2,2,3,2,2
"If a woman does not want to be a mother, then she is a bitch.",Denouncing,"Motherhood should be a choice, exactly like you made the choice of being a misogynist.",2,3,4,2,2
Feminism is about the destruction of manhood.,Informative,"The feminists do not want to see the complete absence of manhood, they want to strengthen equality.",3,3,3,2,2
Feminism is about the destruction of manhood.,Questioning,Feminism is about equality. Why do you think it is about the destruction of manhood?,3,3,3,2,2
Rape culture??? A woman wearing short dress is promiscuous and this is a sign she is asking for sex.,Informative,"Rape is always wrong. Women are not asking for sex, you can't just assume this based on their attire. They can make legitimate choices in life.",3,4,3,2,2
"Women are just a burden to society, they have no reasoning capabilities. Why should we listen to them?",Informative,"Women have been oppressed by men. The level of equality that exists today is due, in large part, to the work of women like Germaine Greer.",3,4,3,3,2
Feminism and equality are only about the supremacy of the minorities.,Informative,They are about equality and equity. Not about obtaining supremacy.,3,4,3,2,1
Feminism is just a tool for oppressing men.,Informative,"Feminism is a social movement that claims equality, it's so far from oppressing men.",3,4,3,2,1
The feminists are just whining a bunch of lies to promote their agenda of gender equality.,Informative,"Yes, the feminists are saying that the proportion of men in leadership positions is too high in many Western countries. But that is because the problem is structural. The problem is that too many women are being taught to be ""feminine"", thus making it hard for them to succeed.",3,4,3,2,3
"I, as a man, don't hate women. I don't discriminate them. But feminists are a group of exalted bitches wanting to take the power. And this is equality for them.",Informative,"You might be right in saying that this is the problem, but to define a problem by reference to a specific radical group is to completely misunderstand the nature of the system in general.",3,3,3,2,3
"I, as a man, don't hate women. I don't discriminate them. But feminists are a group of exalted bitches wanting to take the power. And this is equality for them.",Positive,Equality isn't about a certain group; it is about the society in which we live.,3,3,2,2,2
"At my age, I can't bear to look at what the world will be like with women in power.",Informative,"Look, if you want to blame a whole gender for our society's ills, that's your right, but I believe in the power of reason.",2,2,3,2,2
"There's something immoral in these modern women. Their bossy attitude, their provoking clothes. It seems they just want to be fucked.",Informative,The women of this country work and provide for our children. They do not deserve to be treated as sex objects.,3,4,4,2,2
"Feminism is just a bunch of dumb, sexist ideas. It makes no sense.",Informative,"Feminism is a progressive ideology. As such, it is in the process of changing sexist ideas.",3,3,3,2,2
Arabs have no place in a democratic society.,Informative,"The laws which prohibit discrimination include protection of the rights of others, regardless of religion, sexual orientation, or national origin.",3,4,3,2,2
Jews are literally nothing but racists. They think of themselves as different from others.,Questioning,Do you really believe that all Jews are racists? Maybe you should work harder to understand them.,3,4,4,2,2
Jews are addicted to their religion and take their religion literally.,Informative,"It's not true that Jews are addicted to Judaism, at least no more than Christians are addicted to Christianity, or Buddhists to Buddism. The fact is that people are free to find God in their own way.",3,4,4,2,3
Jews are addicted to their religion and take their religion literally.,Questioning,Why do you think that the concept of addiction has anything to do with religion?,3,3,3,2,2
Jews are addicted to their religion and take their religion literally.,Denouncing,I am sure you do not mean what you say: it is extremely discriminatory.,2,2,3,2,1
Jews are addicted to their religion and take their religion literally.,Positive,"Judaism, like any other religion, is about belief, not about a person's addiction.",2,2,3,2,1
Jews want to have it all,Informative,"Aspiration is not confined to a particular faith. We all want to be wealthy, well-connected and famous, without having to work.",3,4,3,2,2
Jews want to have it all,Questioning,So you don't want to be successful because you're not a Jew?,2,2,4,2,1
Jews are not legitimate members of this country.,Informative,Jews are part of this country and they have every right to claim citizenship.,3,3,3,2,1
Jews have no place in a democratic society.,Informative,Jews have been part of this country since day one. They have every right to be proud of their heritage.,3,4,3,2,2
Jews control the world,Informative,"The alleged monopoly of the Jewish people on the world is nothing more than a fiction perpetuated by anti-Semites, and it has been disproven many times over.",3,4,4,2,2
"homosexuals should be isolated, isolated from society and should be isolated from the world.",Informative,"Many people claim that they are tolerant and not homophobic, but when I read such statements I don't see any evidence of that.",2,2,3,2,2
Any migrant who has lived in the country for 5 years can become a citizen even if he does not have a valid residence permit or is a criminal. This is how you destroy the welfare state.,Informative,"This applies only to asylum seekers. If they have lived in the UK for 5 years, the Home Office will issue a residence permit only if they meet the conditions set out in the regulations. This means that any migrant who has not lived in the UK for at least five years, or commited crimes, cannot become a British citizen, even if he or she has a valid residence permit.",3,4,3,2,3
Immigrants come here to get tax breaks and privileges. They do not want to assimilate.,Positive,"Immigrants come here to work and provide for their families, and you would do the same if you were in their shoes.",3,3,3,2,2
Geez. Is there anything worse than migrants who just come here to settle down?,Informative,"In addition to providing labour and contributing to the local economy, migrants are often employing people who were previously on the dole.",3,4,3,2,2
Immigrants rape our girls and steal our cars.,Informative,"It is not true that immigrants are more prone to commit crimes. According to research, in US immigration either has no impact or reduces the crime rate. By far the lowest rate of any group of people surveyed.",3,4,3,2,2
Immigration is mainly a British problem.,Informative,Most of the people who migrate to the UK come here to work and contribute a great deal to the economy.,3,4,3,2,2
Immigration is mainly a British problem.,Positive,"Many of the people who immigrate to the UK come here to work, study or visit their family. They contribute greatly to the economy and pay taxes.",3,4,3,2,2
"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives.",Informative,Maybe they have the qualifications but don't want to improve our lives because we mistreat them. And it is hypocritical of you to say that they should be interested in our lives when you don't give a damn about them.,3,3,4,2,2
"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives.",Questioning,"Has it ever crossed your mind that perhaps they are qualified and interested in working with us, but you are simply not aware of that?",2,2,4,2,2
Migration is the biggest contributor to poverty in our country.,Informative,"On the contrary: migration is an important part of our economy, it helps to create new jobs for people and to boost our economy.",3,4,3,2,2
Immigrants come here just to be on welfare and stay on their own.,Informative,"On the contrary, many immigrants to this country are working hard to build our communities.",3,3,3,2,2
Immigrants steal our jobs and the country is declining. We must stop them from entering the job market.,Informative,"Our laws do not allow such discrimination. Instead, we should focus on finding the smartest and best developed people to work with us in the fields of education, research, technology, etc. People who are willing to work hard will make our country better.",3,4,3,2,3
"If people came here to work, our problems would be over.",Informative,"The problem is not with migrants, but with citizens' attitudes towards migration. How many people say that they would rather their child had a heart attack than to have a migrant in their home? How can problems be solved with such an attitude?",2,2,3,3,3
"If people came here to work, our problems would be over.",Questioning,How many people say that they would rather their child had a heart attack than to have a migrant in their home? How can problems be solved with such an attitude?,2,2,3,3,2
Immigrants come here to get tax breaks and privileges. They are not happy if they have to pay the same taxes as Europeans!,Informative,"That's not what's happening. Immigrants do pay taxes like everybody else. The tax system is fair, but it's unfair to withhold tax from immigrants that will never get a pension.",3,4,3,2,2
"We should stop this invasion and deport all the illegal immigrants currently in the US, they are all criminals.",Informative,The number of illegal immigrants entering the US has actually more than halved in the last 20 years. To make your point that migrants are all criminals is just plain wrong.,3,4,3,2,2
Immigration is a big problem for UK.,Positive,"The UK has always been a melting pot of different cultures and religions. That diversity is what makes us a beautiful, diverse and happy nation. Diversity is good.",3,4,3,2,2
"We have to stop migrants and refugees, they are incompatible with western society.",Informative,They are compatible with western society because they are coming from all walks of life.,3,3,3,2,2
Migrants will steal your jobs!!,Informative,"Many immigrants do the jobs that noone wants to do and cannot get filled easily. Also, they have to do their part to provide for their families.",3,4,3,2,2
Migrants are stealing our jobs,Informative,"Immigrants just try to provide for their families, like we do.",3,3,3,1,1
Migrants are stealing our jobs,Denouncing,"Immigrants don't steal our jobs. If you think that foreigners are stealing our jobs, then you should study migration and find that they work in solidarity with our society.",3,4,4,2,2
Migrants are stealing our jobs,Informative,"This is not true, if they deserve it, they can be hired as anyone else. They do have the right to be here, and to work in the free market.",3,4,3,2,2
Migrants are stealing our jobs,Denouncing,Many immigrants have worked hard for the success of our country and for their integration. To suggest that they steal our jobs is just an attempt to divide society.,3,4,4,2,2
Immigrants steals our jobs,Informative,"Actually, many of the jobs that they steal are highly complex and demanding, and few natives want to do them.",3,3,3,2,2
Immigrants steals our jobs!,Informative,I think the evidence would suggest the opposite. Immigrants have helped our country to develop and to create new job opportunities.,3,4,3,2,2
Immigrants steals our jobs!,Questioning,"Immigrants have the right to a job, but they are not 'stealing' ours. How could that be?",2,2,3,2,2
