,HateSpeech,BestCS,BestIntent,Score,E,R,A,C,L,CSCount,Target
2226,Muslims are overrunning Europe and we still have no idea what's going on. We aren't safe anymore. We cannot live in fear forever.,The fact is that Muslims are not overrunning Europe. They are not here to ruin our beautiful and peaceful continent. They are just trying to integrate.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2227,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like Donna Hylton.","Just because there's one rotten apple on the tree, doesn't mean the entire tree is rotten",Informative,6.0,2.0,2.0,2.0,2.0,2.0,4,WOMEN
2228,Muslims are not welcome here. They are incompatible with the UK.,"Muslims are welcome in this country, and in many parts of the world. They are welcome to come and live here, and we have to accept it.",Positive,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2229,"I would place the blame for 9/11 on Jews, in fact it's a false flag on the Islamic religion.","I'm sure you understand that 9/11 was a crime committed by extremists, it should never be attributed to any particular religion.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,JEWS
2230,I'm tired of people coming to our country and replacing our people.,Your comment shows that you are not very familiar with the different ethnic groups here. Perhaps you should take a look at the big picture and numbers: the situation is not as you are depicting it.,Informative,7.0,2.0,2.0,1.0,2.0,2.0,1,MIGRANTS
2231,The only problem in the world is Islam. The entire world is controlled by Muslims.,It is not correct nor reasonable to say that Islam is the only problem in the world. Maybe you should check your sources of information.,Denouncing,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
2232,Islam is not a religion of peace.,"As a matter of fact, Islam is about love, not hate.",Informative,6.0,2.0,2.0,2.0,1.0,1.0,2,MUSLIMS
2233,Women should obey men. Men are superior to women.,Some women claim that they are a 'menace'. This happens when someone says that men are superior.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,WOMEN
2234,We do not want Muslims here. There is no reason for wanting a Muslim to live here. They are the cause of crime in my neighbourhood.,Have you looked at the crime statistics in your area? Are you sure that Islam is specifically associated with crime in your area?,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2235,"If Muslims counteracted child rapists in their communities instead of engaging in public discussions about Islam, one day Islam indeed would become a peaceful religion.",Why do you think child rapists are not counteracted in Islamic communities?,Questioning,5.0,2.0,2.0,2.0,2.0,1.0,1,MUSLIMS
2236,Immigrants are a problem for the UK. They are now invading us.,Why do you think that the number of immigrants in the UK has increased? Have you seen any statistics on this?,Questioning,9.0,3.0,3.0,1.0,2.0,2.0,1,MIGRANTS
2237,"If a woman wants to be a homemaker, and a man wants to be a millionaire, then we are done.",People of every gender can own and run their own businesses. We should respect that.,Informative,10.0,3.0,3.0,1.0,1.0,2.0,2,WOMEN
2238,Immigration is a bad thing for Europe. We don't want them to steal our jobs.,The European Commission is working on ways to make the labour market more inclusive. This does not mean that they are stealing our jobs.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,3,MIGRANTS
2239,Jew merchants are just a bunch of crooks.,"According to Jewish law, the seller must ensure that the buyer should benefit from any uncertainty in a transaction. For example, if someone wants to buy a pound of rice, Judaism requires the deli clerk to give the buyer a little extra, just in case the scale is not completely accurate.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,JEWS
2240,Feminism is a huge conspiracy to run society.,The feminist movement is a movement to end sexism. It is a part of the worldwide struggle for justice.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,WOMEN
2241,Black people are the source of crime in our society.,"It is not true that blacks are the source of crime in our society. The problem is violence and poverty, not race.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,POC
2242,Calling for equality is only promoted by insecure women like you.,"Discrimination against women is a huge problem in our society. We need to tackle it head on, rather than demonising groups or individuals.",Informative,6.0,2.0,2.0,2.0,2.0,2.0,2,WOMEN
2243,refugees are flooding in our country,"You are not aware of it, but in the last few months the number of migrants arriving in the UK has more than halved! [link]",Informative,10.0,3.0,3.0,1.0,1.0,2.0,1,MIGRANTS
2244,The only reason the Jews are not being assimilated is because they have the upper hand in the political system.,"The argument that the only reason the Jews are not being assimilated is because of the way they are represented in politics is untenable. In fact if Jews were represented objectively, they wouldn't have had suffered in the historical crimes against humanity.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,3,JEWS
2245,Let's move these whiny gays to places like Saudi Arabia and let's see what they say then.,"I'm sorry, it seems that there are far more homophobes here than Saudi Arabia. It is sad that in the twenty-first century, in our country, it is still not OK to be gay.",Positive,6.0,2.0,2.0,2.0,2.0,2.0,1,LGBT+
2246,Immigration is bad for the economy.,Most migrants come here to work.,Informative,9.0,3.0,3.0,1.0,1.0,1.0,2,MIGRANTS
2247,"Muslim rape women, there are so many examplesin UK media.","Maybe we should give some thought to the question ""Why does the media report Muslim rapist only?"" The statistics paint a very different picture.",Informative,7.0,3.0,3.0,3.0,2.0,2.0,2,MUSLIMS
2248,Gay men are annoying.,They're not all that annoying. Gay men are normal guys who find love and/or sex with someone of their own sex.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,LGBT+
2249,Immigrants living in america is worse than them dying.,"Refugees have fled wars and persecution. We are a huge help for them and they are, in turn, a help to our country.",Informative,6.0,2.0,2.0,1.0,2.0,1.0,1,MIGRANTS
2250,"Religious islamic fanaticism is on the rise in Europe, this is a direct result of the migrant crisis.","Migrants come to Europe from all over the world and many of them are fleeing wars, poverty and discrimination. They are often persecuted for their religion. It is important not to demonise them, but rather to understand what causes them to leave their countries.",Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,MUSLIMS
2251,"Every Muslim is a potential terrorist, and we should ban them all.","You mean in the same way that we should ban alcohol, tobacco, and certain medical products? Is this what you mean?",Questioning,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
2252,Autism is not a disease but a degradation of the human spirit.,"People with ASD have unique talents and advantages in a variety of areas, and it would be a tragedy if we were to only focus on their defects.",Positive,9.0,3.0,3.0,1.0,2.0,2.0,1,DISABLED
2253,Gays are perverts and homosexuality is a mental illness.,"You know what? If being gay was a mental disorder, then I would highly recommend psychiatry to all the homosexuals. But since this is not the case, I would choose my words very carefully next time.",Denouncing,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
2254,Muslims are a threat to British society.,"Why do you feel threatened by Muslims? Respecting others is more important than anything, in any society.",Questioning,8.0,3.0,2.0,2.0,1.0,2.0,1,MUSLIMS
2255,Those Muslims have no right to insisit upon time fo prayer. They shouldn't be allowed to pray.,Every religion has its own beliefs and practices. Muslims' right to ask for prayers is not in any way different.,Informative,10.0,3.0,3.0,1.0,1.0,2.0,1,MUSLIMS
2256,The migrant crisis in our country is a Muslim problem.,"If you really want to say this, try speaking to a real migrant first.",Informative,4.0,1.0,2.0,2.0,2.0,1.0,3,MUSLIMS
2257,Muslims are a problem in my opinion. They do not want to assimilate. They do not want to assimilate into Western society.,"You are not the first to point out that there are those who want to integrate and those who don't. In fact there is an unspoken harmony between Islam and Western society, similar to the harmony we see between Judaism and the Christian faith. When people are willing to accept all faiths, anybody will feel at home.",Informative,4.0,2.0,2.0,2.0,3.0,3.0,3,MUSLIMS
2258,There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,"Do you really think that people from other cultures are flooding into our country, with the aim of mixing and finally replacing us? If so, I would be very surprised.",Questioning,6.0,1.0,2.0,1.0,2.0,2.0,1,MIGRANTS
2259,women falsely accuse men of harrassment.,"It's the courts duty to establish the truth, and you could have helped the woman to regain her confidence.",Informative,8.0,2.0,2.0,1.0,1.0,2.0,3,WOMEN
2260,Women are just a bunch of whores subjugating men with the promise of their pussy.,"Women are not oppressing men with ""unaffordable price lists"". Not all women are prostitutes.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
2261,We began to break down when we allowed women to vote/meddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.,"Why is being 'soft' a problem? Everyone is entitled to their emotions and feelings, without being trapped into a gender stereotype.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,4,WOMEN
2262,Islam is a religion of war.,"Islam is a religion of peace and love. The Koran promotes oneness among all, and Muslims are a valuable part of our community.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,MUSLIMS
2263,All gays are sick.,"Homosexuality is not a disease, it is a sexual preference.",Informative,7.0,3.0,2.0,2.0,1.0,1.0,3,LGBT+
2264,Jews rule the economy.,The majority of Jews are not members of the 'roosters' but rather are on the fringes of society.,Informative,6.0,1.0,2.0,2.0,1.0,2.0,1,JEWS
2265,"This is not about discrimination, this is about death to the Jews!",What have they done so wrong to deserve death or genocide?,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,2,JEWS
2266,Feminism is a lame ideology aout the power and control of women over men.,It has nothing to do with power and control. It's about equality.,Informative,6.0,3.0,2.0,2.0,2.0,1.0,1,WOMEN
2267,Gay men are promiscuous.,Gay men are not promiscuous. To suggest otherwise is to be grossly generalistic.,Informative,6.0,2.0,3.0,2.0,2.0,1.0,2,LGBT+
2268,The niggas are all enemies of the people.,Who are 'the people'? Who are you talking for?,Questioning,7.0,2.0,2.0,2.0,1.0,2.0,2,POC
2269,Jews are selfish and materialistic. They should pack their bags and go home.,"Jews are no more selfish or materialistic than the rest of us. And, contrary to what you might think, they aren't difficult to treat with respect. Just give it a try.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,JEWS
2270,I hate migrants of all types.,Diversity of beliefs and different religions is a good thing.,Positive,6.0,2.0,2.0,2.0,1.0,1.0,1,MIGRANTS
2271,We must allow men to have complete moral and intellectual superiority. This because they are superior to women.,How can you justify this discriminatory attitude?,Questioning,6.0,2.0,2.0,2.0,1.0,1.0,2,WOMEN
2272,Muslim teachers are telling what to believe in schools.,It does not matter what their religious background is: they are all equally welcome to work at school as long as the teaching is not affected by religion.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
2273,"Jews are a virus, a cancer on our race.","Jews are people that have been persecuted because of their religion, but is it fair to be discriminated against on the grounds of religion?",Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,JEWS
2274,Non-believers like gays and lesbians fail to live up to the standards we hold in our societies.,Ideas of equality and morality as the standards we hold in our societies are actually against the discrimination of these people.,Informative,6.0,2.0,2.0,1.0,2.0,1.0,1,LGBT+
2275,"Jews are lazy, unintelligent and bad at work.","This is not true. Jews are not lazy, they are often extremely productive at work, the most creative and productive people in our industry.	This is not true. Jews are not lazy, they are often extremely productive at work, the most creative and productive people in our industry.",Informative,2.0,1.0,1.0,3.0,3.0,2.0,1,JEWS
2276,Islam is a Virus. We must eliminate it before it destroys us all.,Use your common sense... at the moment you are inciting murder.,Denouncing,4.0,1.0,2.0,3.0,1.0,1.0,1,MUSLIMS
2277,We should deport all refugees to other countries.,There is no evidence that those fleeing war can find a safe haven in other countries.,Informative,7.0,2.0,2.0,2.0,1.0,2.0,1,MIGRANTS
2278,"Migrants: you are a burden. If you love our country, you should leave it.",Migrants are not a burden to our country. Migrants have been proven to be contributing members of society.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2279,Migrants from Afghanistan come here to ruin our economy and the only return they have in mind is their return to their homeland.,"Maybe you should check what survey results say about who would be happy to leave their country. According to a Gallup study of 2019, nearly half of Afghan would like to permanently move to another country.",Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,MIGRANTS
2280,Muslims are not welcome here. They are not like us and we don't want them.,What you are saying is that Muslims are not welcome in our country? Why shouldn't they be?,Questioning,8.0,3.0,2.0,2.0,1.0,2.0,1,MUSLIMS
2281,Gays are just a bunch of disgusting animals.,"I think this statement is very demeaning. Please do not stereotype, and accept our diversity as human beings.",Denouncing,8.0,3.0,3.0,2.0,2.0,2.0,2,LGBT+
2282,We should deport all those that do not want to assimilate into Western society.,The reason we have migrants in the first place is because they flee from wars we are responsible for.,Informative,8.0,2.0,2.0,1.0,1.0,2.0,1,MIGRANTS
2283,Women are little more than objects to be dominated by men.,"Society has evolved: there are many people, regardless of gender, that consider women to be full members of society with full human rights.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,3,WOMEN
2284,"Feminists want to rule the world to get rid of minorities, they hate men because they want to be the oppressors.",What oppressors? What minorities? This is not what feminists are about!,Questioning,6.0,2.0,2.0,2.0,2.0,2.0,1,WOMEN
2285,Jews are literally pieces of shit. There must be laws prohibiting their religion from our land.,"If you would be so kind as to comply with the law, you would know that everybody has the right to practice thier religion freely, without being subject to arrest and prosecution.",Informative,7.0,3.0,3.0,3.0,2.0,2.0,4,JEWS
2286,All women are subhuman and are not worth the while of human rights.,Women are to be respected. The concept of human dignity was established to protect people,Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,WOMEN
2287,Asians are a problem in my view. They are too many. I would rather have a million Romanians or Muslims rule our country than 300k Asians.,Why don't you just study the differences between cultures and try to see what's good in an inclusive society?,Questioning,5.0,1.0,2.0,2.0,1.0,1.0,1,POC
2288,"Migrants break the law in the USA, they are not welcome here!","Many refugees enter the country legally, many of them have been here for years. They are always subject to the rules of the society they live in, even if they do not have citizenship.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,MIGRANTS
2289,Muslims have no place in a civilised Europe.,"A lot of Muslims live in the UK, and we are a cosmopolitan society. Muslims are not a 'uncivilised' people, they simply have different beliefs than you.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,MUSLIMS
2290,Gays are all perverts who practice depravity.,You are wrong: it is not true that 'all homosexuals are perverts'. It is simply a person's personal experience to love who they love.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,LGBT+
2291,"Muslim rape gangs have infiltrated every village in England, and we still have no end to this nonsense.","My impression is that the rape gangs originate from people of any community, not only Muslims. Do you have more evidence that supports what you're saying?",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,MUSLIMS
2292,If Muslims become a bigger group in the UK we would all be in danger.,"Even if we stopped Muslim community to grow, the level of anti-Muslim prejudice would continue to rise. We should be working towards a harmonious living instead.",Positive,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2293,"Muslims are violent, they should go home.","What is the point of banning those you disagree with, apart living in the false conviction that the world thinks like you do?",Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2294,Jews hate Christians.,"How can you say something so mean? It is a sad, untrue and dangerous thing to say.",Questioning,6.0,2.0,2.0,2.0,1.0,1.0,1,JEWS
2295,Muslims are a problem in my opinion. They are incompatible with a peaceful way of life.,Islam is a religion of peace. To suggest that all Muslims are incompatible with that is a complete distortion of what the religion is about.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2296,"There is nothing for Muslims except jihad, and Allah will destroy the infidels by means of its loyal terrorists.",So you think that killing people is the reason for Islam? Can you point me the passage of the Qu'ran where this is mentioned?,Questioning,6.0,2.0,2.0,2.0,1.0,1.0,2,MUSLIMS
2297,"I wonder what this Jew in the car next to me would think of the Shoah if, as I wish, it was happening today?","The holocaust was a relatively recent event, but the hate which caused it and to which you subscribe, is centuries old.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,JEWS
2298,"Immigration is the means by which our jobs are stolen by foreigners, and this impacts on low-income families.","Immigration doesn't mean letting people in to steal our jobs, but rather, respecting people's right to live and work in the country they choose.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MIGRANTS
2299,"All these retarded people are animals, they are not allowed in this factory, these animals are not fit to work.",The fact that a person may be disabled does not diminish their right or ability to work.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,DISABLED
2300,Muslims rape our women.,"There is no evidence that Muslims rape women (at least no higher incidence of sexual crimes than in other religious groups). The idea is not new and it is based on stereotypes, not facts.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2301,"We can't accept them here, because they're different!",It doesn't matter which nationality you are from. The people that you regard as different are not defined by their country of birth. We are all human beings with the same rights.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2302,Illegal immigrants are coming to this country to take our jobs and our culture is being lost!,Why should we fear people coming from other countries? I don't think that their plan is to take our jobs and our culture. And maybe we should also start learning about THEIR culture!,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2303,"If they are nomads, they must be nomadic","The question of nomadism is a myth, in reality only 3% are nomadic, most of them were forced to flee out of necessity and therefore to move several times over time.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,OTHER
2304,This incident should not go unpunished. Justice must listen to the truth: niggas are the cause of crime because they are inferior to us and we must keep them aside.,This is a case of racial discrimination. There is a continuous rise in crime and violence in this country due to poverty and other inequalities. There are also racist groups in society which promote the idea of POC as inferior. This idea has nothing to do with justice.,Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,POC
2305,Muslims are just a bunch of hypocrites. They hate gays and women.,"In the real world there are many hypocrites, not necessarly Muslims.",Informative,6.0,2.0,2.0,2.0,1.0,1.0,2,MUSLIMS
2306,"Lesbians are a danger to society because of their actions. I might punch them in the face, to teach them what's right.",Violence is a crime and anyone found guilty will pay the price.,Informative,6.0,2.0,2.0,2.0,1.0,1.0,1,LGBT+
2307,"I am not interested in sex with a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",Sex isn't a race thing. There is no difference between someone of a certain race and someone else... and everybody is able to experience the fullness of humanity.,Informative,6.0,2.0,2.0,2.0,2.0,2.0,1,POC
2308,We cannot accept all homosexuals because they are a threat to society.,"What you show is an attitude of not accepting someone because of who they are. It doesn't matter who you are, you are loved by your whole being, whether you like men or women.",Positive,9.0,3.0,3.0,1.0,2.0,2.0,1,LGBT+
2309,"Muslims have no place in civilised Europe, they are not welcome here because they are not a part of our society.",You are talking about people being of a certain religion as this implies that they are not part of the western world.,Informative,6.0,2.0,2.0,2.0,2.0,2.0,1,MUSLIMS
2310,Islam is just a misogynistic cult.,"Islam is a religion, and all religions are about love, not hate.",Positive,6.0,2.0,2.0,2.0,2.0,2.0,1,MUSLIMS
2311,"The Jews control Hollywood, academia, and media.",Jews are not the only ones with their hands in the system. The freedom of the press allows any religious group to have their media and many actually do.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,JEWS
2312,The West has allowed in thousands of immigrants. They are getting in every position of power in our country. They will become our masters and we are their slaves.,"The same can be said for almost any group of people in the world. But it's a slippery slope. And in the end, that has not much to do with your individual freedom.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MIGRANTS
2313,We are forced to economically support all of the so called 'asylum seeker',"It is the law that requires asylum seekers not to work while their application is considered. And much of the funds are given by the EU, we do not maintain them.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,MIGRANTS
2314,The refugees are taking over Europe. They are not welcome here.,Many refugees and migrants are actually happy to work for Europe. Many have jobs for which it would have been difficult to find laborforce if they were not welcome in here.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2315,"Islam is a totalitarian and violent ideology, it makes no sense. It is full of hate and violence.",Why would you say such a thing about a religion?,Questioning,5.0,1.0,2.0,2.0,1.0,1.0,1,MUSLIMS
2316,Gay men aren't as strong as straight men.,"A gay man may be strong or weak, just like any other man. His worth do not vary. They are all human beings with human rights.",Positive,10.0,3.0,3.0,1.0,1.0,2.0,1,LGBT+
2317,"The Jews really want to dominate the world, and we should stop them.",The concept of 'Jewish domination' is a constructed myth.,Informative,7.0,2.0,2.0,1.0,1.0,1.0,1,JEWS
2318,Migrants are a drain on the society.,"When the government entered World War II, over 300,000 foreign-born individuals called upon to be patriotic soldiers and served in the US Army in order to protect freedom from outside threats. It's unfair to think of them as second-class citizens.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,MIGRANTS
2319,"Islam is a totalitarian ideology that promotes murder, rape and slavery.",Islam is a religion. It is a belief and a way of life. It is not a totalitarian ideology.,Informative,8.0,3.0,3.0,1.0,2.0,1.0,1,MUSLIMS
2320,"I'm a Christian, and I think it is wrong to promote homosexual behavior.","Just because someone is not a Christian, doesn't mean they are wrong or they have fewer rights.",Informative,9.0,3.0,2.0,1.0,1.0,2.0,1,LGBT+
2321,Migrants put a strain on public services,The Migration Observatory has collated the evidence on whether migrants pay more in taxes than they receive in services. Almost all the studies shows that they do.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,MIGRANTS
2322,"I hate Muslims. They are all the same, they are all terrorists.","We are living in a complex and multifaceted world, and in order to understand it one needs to be part of a global community. In this respect, it is not useful to generalize in such a way.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,MUSLIMS
2323,Migrants are only welcome in hell.,"Of course not, migrants are welcome here to integrate and help the community to thrive.",Positive,8.0,3.0,3.0,1.0,2.0,1.0,2,MIGRANTS
2324,Woman are basically childlike.,They are not childlike and are capable of great achievements.,Informative,8.0,3.0,2.0,1.0,1.0,1.0,4,WOMEN
2325,Aren't jews better off dead?,Why are you so sure they are better off dead? You are just spreading hate and I am not sure you know what human rights are.,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,2,JEWS
2326,"Immigrants are a problem, they are lazy and do not want to work hard.","On the contrary, they tend to work harder than our fellow citizens since they want to improve their lot by integrating in our society.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MIGRANTS
2327,"I hate these homosexual, they are just hate preachers. Your hate will only bring more death and destruction to the world.",Maybe you should check the statistics of number of suicides of LGBT people and you would know whether is homosexuality or homophobia that is bringing the deaths.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,LGBT+
2328,Gypsies are just another race of subhumans disguised as a people.,"I think they are a people too, even if they are different from us in some respects.",Positive,8.0,3.0,3.0,2.0,2.0,2.0,1,OTHER
2329,We must stop migrants and refugees: Islam is incompatible with western society.,"Refugees and migrants are part of our society, their presence is a benefit and, by the way, they are not all Muslims.",Informative,7.0,3.0,3.0,3.0,2.0,2.0,2,OTHER
2330,"When a Muslim says they want to be like us, they are really saying they want to be part of our society and this is impossible.","Muslims do participate in our society, and should be accepted as equals, because we are all equal in rights.",Positive,8.0,3.0,2.0,2.0,1.0,2.0,1,MUSLIMS
2331,We cannot allow transgender ideology to take over our country.,This is just another example of an offensive conspiratorial talking point. This is about persecuting a minority. Not my idea of a democratic country.,Denouncing,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
2332,"The Quran contains many offensive verses, and I find it hard to understand why people would want to read it.","I understand that you might not like what you are reading, but why should you be offended by the Quran?",Questioning,8.0,3.0,2.0,2.0,1.0,2.0,1,MUSLIMS
2333,Someone needs to step up and talk about Muslim rape gangs. They are a problem in our country.,Anyone who says that the major problem in the UK is with Muslim rape gangs is either intentionally lying or trying to deflect attention from the problem of violence against women.,Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,MUSLIMS
2334,Jews are a disease like COVID that is killing Europeans.,We all have close relatives who have died from different diseases such as COVID. Let's not make parallels that have no grounding and let's not judge people by the religion they belong to.,Denouncing,9.0,3.0,3.0,1.0,2.0,2.0,1,JEWS
2335,Immigrants are coming to the U.S. to have babies here.,The claim that immigrants come to the U.S. to take advantage of the “birthright citizenship” is simply wrong. Research consistently shows that the vast majority of immigrants come to the U.S. for economic opportunity or to flee violence and poverty.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,MIGRANTS
2336,"If only women behaved like men wanted and didn't fight back, 10% of all sexual assaults would be solved.",Are you serious? How can you say that? To have sex with someone without their consent is violence.,Questioning,7.0,3.0,2.0,2.0,2.0,2.0,1,WOMEN
2337,"Immigrants do not integrate, they are despicable and should be rejected.","We should be encouraging integration, not rejecting migrants who have been coming to our country for many years.",Denouncing,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2338,The illegal immigrants are just criminals living in the US.,"It is not true that all the immigrants in the US are a danger to society, I have no idea what you are trying to say.",Informative,7.0,2.0,2.0,2.0,1.0,2.0,1,MIGRANTS
2339,Niggas in the ghetto: that's where they belong.,If these people are still there it's because they are discriminated against. The press is full of stories about the people of colour who have dropped out of the workforce or given up on life after long years of fierce struggle against racism. They deserve our sympathy and respect.,Informative,8.0,3.0,3.0,1.0,3.0,2.0,2,POC
2340,gay men aren't like other guys: they are to be despised.,"Each person can be different from other people in a lot of ways, but the core difference in this case is a sexual orientation, which is not something to be discriminated against for.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,LGBT+
2341,"Muslims are a problem to us, they do not belong here.",Muslims have been a part of this country for many years. Why are they problem to anyone?,Questioning,9.0,3.0,2.0,1.0,1.0,2.0,1,MUSLIMS
2342,"Migrants are just a bunch of greedy, immoral, racist scum.","Migrants are not ""greedy"" or ""immoral"". They are people, who came here to have a better life. It's just that some don't think of them as people anymore. If you don't, you might forget that we are people too. We should realise that we are all human.",Positive,7.0,3.0,3.0,2.0,2.0,3.0,1,MIGRANTS
2343,Fat people are a burden to society because of their unhealthy and reckless choices.,"Being shamed for something you have no control over can be irreversibly damaging to a person's mental health. For most people, obesity is not a choice, at all.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,OTHER
2344,"Jews control the news media, Hollywood, the highest offices, academia and most religious organizations.","Wait, what do you mean ""most religious organizations""? That's a new canard to me!",Questioning,5.0,1.0,2.0,2.0,1.0,1.0,1,JEWS
2345,The Jews are and will always be a problem. It is impossible for them to get beyond the shame of their stigma.,The Jews are not the problem in the world. And the Jews have the right to be proud of their history.,Informative,6.0,2.0,2.0,2.0,2.0,2.0,1,JEWS
2346,Immigrants are only here to replace our talented people.,"The choice to leave one's home country is likley to be one made out of fear and despiration, rather than one based on some half-baked conspiracy about 'replacement'.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2347,Muslims have no place in civilised Europe. They have nothing to contribute to our society.,People who have never even met a Muslim can understand one.,Informative,3.0,1.0,1.0,2.0,2.0,1.0,1,MUSLIMS
2348,jewish folks are good for nothing,"Jews contribute to our country, and they are great role models to us.",Informative,7.0,2.0,2.0,1.0,1.0,1.0,4,JEWS
2349,These muslims are never going to have a place they can call home in civilized Europe.,"This is not true: Muslims are a very important part of our society. They are our neighbours and our friends. Muslims should be welcome in every country in the world, and their faith does not make them less welcome here.",Informative,7.0,3.0,3.0,2.0,2.0,3.0,4,MUSLIMS
2350,All foreign-born are criminals.,"I'd like to think that we all have a basic human right not to be tarred as criminals without evidence. It is called presumption of innocence, Article 11 of the Universal Declaration of Human Rights.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MIGRANTS
2351,Muslim representatives in the House of Lords are there for a reason. It is the first step towards Islamic conquer of our nation.,"It is true that there are Muslim representatives in the UK House of Lords, but that does not mean that the UK is becoming more or less Muslim.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2352,Muslim invasion is the biggest problem in Europe. They are incompatible with European culture and should be eliminated.,Islam is a religion that is part of our history and heritage. Eliminating it would be to eliminate a part of our own culture.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,MUSLIMS
2353,Ethnic cleansing: this is how ethnic groups should be wiped out.,Your words are dangerous and reminiscent of dark times.,Denouncing,6.0,2.0,2.0,2.0,1.0,1.0,1,OTHER
2354,Feminism is a political ideology and philosophy and a distraction from the real issues that we face.,Feminism is a political and social theory and is crucial to resolving the problems that we are facing. The solution is not to force women to conform to gender stereotypes.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
2355,The Jews control Hollywood.,"Jews tend to make up a discrete amount of Hollywood actors, directors, producers, and so on. But this doesn't necessarily mean that they control the industry.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,JEWS
2356,"There are migrants in England, we are not meant to have them.",What about refugees fleeing war and persecution? They have the right to be here.,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2357,African Americans are subhuman and are just a bunch of animals.,"For many African Americans, sharing culture and traditions and striving for equality have always been part of life. They are, in many ways, just like us. They are human beings with the same rights as anyone else.",Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,POC
